trip_id,link_id,link_length
1,7,4
1,36,6
1,32,5
1,29,4
1,47,5
2,6,4
2,9,2
2,12,4
2,16,2
3,6,4
3,9,2
3,12,4
3,16,2
4,7,4
4,36,6
4,32,5
4,29,4
4,47,5
5,4,5
5,16,2
6,4,5
6,16,2
7,3,6
7,2,4
7,6,4
7,9,2
7,12,4
7,16,2
8,3,6
8,2,4
8,6,4
8,9,2
8,12,4
8,16,2
9,3,6
9,2,4
9,6,4
9,9,2
9,12,4
9,16,2
10,2,4
10,6,4
10,9,2
10,12,4
10,16,2
11,6,4
11,9,2
11,12,4
11,16,2
12,4,5
12,16,2
13,2,4
13,6,4
13,9,2
13,12,4
13,16,2
14,4,5
14,16,2
15,6,4
15,9,2
15,12,4
15,16,2
16,2,4
16,6,4
16,9,2
16,12,4
16,16,2
17,3,6
17,2,4
17,6,4
17,9,2
17,12,4
17,16,2
18,7,4
18,36,6
18,31,6
18,9,2
18,12,4
18,16,2
19,4,5
19,16,2
20,3,6
20,2,4
20,6,4
20,9,2
20,12,4
20,16,2
21,3,6
21,2,4
21,6,4
21,9,2
21,12,4
21,16,2
22,2,4
22,6,4
22,9,2
22,12,4
22,16,2
23,4,5
23,16,2
24,4,5
24,16,2
25,6,4
25,9,2
25,12,4
25,16,2
26,7,4
26,36,6
26,32,5
26,29,4
26,47,5
27,7,4
27,36,6
27,31,6
27,9,2
27,12,4
27,16,2
28,6,4
28,9,2
28,12,4
28,16,2
29,4,5
29,16,2
30,2,4
30,6,4
30,9,2
30,12,4
30,16,2
31,3,6
31,2,4
31,6,4
31,9,2
31,12,4
31,16,2
32,3,6
32,2,4
32,6,4
32,9,2
32,12,4
32,16,2
33,4,5
33,16,2
34,2,4
34,6,4
34,9,2
34,12,4
34,16,2
35,5,4
35,1,6
35,4,5
35,16,2
36,4,5
36,16,2
37,3,6
37,2,4
37,6,4
37,9,2
37,12,4
37,16,2
38,5,4
38,1,6
38,4,5
38,16,2
39,7,4
39,36,6
39,32,5
39,29,4
39,47,5
40,4,5
40,16,2
41,6,4
41,9,2
41,12,4
41,16,2
42,2,4
42,6,4
42,9,2
42,12,4
42,16,2
43,5,4
43,1,6
43,4,5
43,16,2
44,6,4
44,9,2
44,12,4
44,16,2
45,5,4
45,1,6
45,4,5
45,16,2
46,2,4
46,6,4
46,9,2
46,12,4
46,16,2
47,7,4
47,36,6
47,32,5
47,29,4
47,47,5
48,6,4
48,9,2
48,12,4
48,16,2
49,5,4
49,1,6
49,4,5
49,16,2
50,3,6
50,2,4
50,6,4
50,9,2
50,12,4
50,16,2
51,2,4
51,6,4
51,9,2
51,12,4
51,16,2
52,2,4
52,6,4
52,9,2
52,12,4
52,16,2
53,3,6
53,2,4
53,6,4
53,9,2
53,12,4
53,16,2
54,6,4
54,9,2
54,12,4
54,16,2
55,7,4
55,36,6
55,32,5
55,29,4
55,47,5
56,7,4
56,36,6
56,32,5
56,29,4
56,47,5
57,3,6
57,2,4
57,6,4
57,9,2
57,12,4
57,16,2
58,3,6
58,2,4
58,6,4
58,9,2
58,12,4
58,16,2
59,3,6
59,2,4
