WKT,fid,O,D,O_lat,O_lon,D_lat,D_lon,length,walkwidth,width,side,buile_MAX,build_ave,build_Min,katagawa,green,bridge,tunnel,crosswalk,roof,river,D/H,gradient,maxspeed,O_altitude,D_altitude,green_g,green_l
"MULTILINESTRING ((139.6351511 35.4451014,139.6351717 35.4451211,139.6352069 35.4451548,139.6354147 35.4453537))",1,1,304,35.4451014,139.6351511,35.4453537,139.63541469999998,36.841,5.0,24.0,1,34.0,16.7,7.0,2.0,2,0,0,0,0,0.0,1.44,0.0054,50.0,1.5,1.3,0.0,0.0
"MULTILINESTRING ((139.6351511 35.4451014,139.6350952 35.4451518,139.6346356 35.4456024,139.6345646 35.4456508))",2,1,281,35.4451014,139.6351511,35.44565080000001,139.6345646,81.084,4.0,4.0,1,37.0,19.3,9.9,2.0,0,0,0,0,0,0.0,0.20698577,0.0025,0.0,1.5,1.3,0.0,0.0
"MULTILINESTRING ((139.6348471 35.4448707,139.6351004 35.4450629,139.6351403 35.4450932,139.6351511 35.4451014))",3,1,89,35.4451014,139.6351511,35.44487070000001,139.6348471,37.635,5.0,24.0,1,0.0,0.0,0.0,0.0,0,0,1,0,0,0.0,0.0,-0.0027,50.0,1.5,1.6,0.0,0.0
"MULTILINESTRING ((139.6370181 35.4473158,139.6371207 35.4472557,139.638059 35.4467315))",4,2,13,35.4473158,139.63701809999998,35.4467315,139.638059,114.51,4.0,14.0,1,68.0,0.0,21.0,0.0,1,0,0,0,0,0.0,0.0,0.0009,0.0,1.5,1.4,0.0,0.0
"MULTILINESTRING ((139.6373284 35.4477195,139.6372893 35.4476692,139.6370515 35.4473606,139.6370181 35.4473158))",5,2,3,35.4473158,139.63701809999998,35.4477195,139.6373284,52.964,10.0,30.0,1,68.0,0.0,20.0,0.0,2,0,0,0,0,0.0,0.0,-0.017,0.0,1.5,2.4,0.0,0.0
"MULTILINESTRING ((139.6360062 35.447893,139.6360595 35.4478625,139.6369262 35.4473701,139.6370181 35.4473158))",6,2,12,35.4473158,139.63701809999998,35.447893,139.6360062,111.9,4.0,10.0,1,33.0,0.0,16.0,0.0,0,0,0,0,0,0.0,0.0,0.0027,0.0,1.5,1.2,0.0,0.0
"MULTILINESTRING ((139.6373284 35.4477195,139.6372239 35.4477705,139.6362937 35.44826,139.6362381 35.4482943))",7,3,67,35.4477195,139.6373284,35.44829429999999,139.6362381,117.666,7.5,19.0,1,31.0,0.0,26.5,0.0,2,0,0,0,0,0.0,0.0,0.0025,0.0,2.4,2.1,0.0,0.0
"MULTILINESTRING ((139.6376326 35.4481189,139.6375959 35.4480698,139.6373681 35.4477723,139.6373284 35.4477195))",8,3,126,35.4477195,139.6373284,35.448118900000004,139.6376326,52.266000000000005,9.0,23.5,1,31.0,0.0,19.0,0.0,2,0,0,0,0,0.0,0.0,-0.0057,0.0,2.4,2.7,0.0,0.0
"MULTILINESTRING ((139.6383772 35.4471624,139.6374429 35.4476616,139.6373284 35.4477195))",9,3,73,35.4477195,139.6373284,35.44716240000001,139.63837719999998,113.421,7.5,19.0,1,68.0,0.0,31.0,0.0,2,0,0,0,0,0.0,0.0,0.0088,0.0,2.4,1.4,0.0,0.0
"MULTILINESTRING ((139.6383407 35.4490416,139.6383741 35.449128))",10,4,26,35.449128,139.6383741,35.4490416,139.6383407,10.072000000000001,11.5,29.0,1,0.0,0.0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0298,0.0,2.6,2.3,0.0,0.0
"MULTILINESTRING ((139.638609 35.4494474,139.6385742 35.4494,139.6384161 35.4491845,139.6383741 35.449128))",11,4,92,35.449128,139.6383741,35.4494474,139.638609,41.402,5.5,15.0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0024,0.0,2.6,2.5,0.0,0.0
