user_id,n_paths_used
6525,19
6546,19
6512,12
6505,11
6501,10
6508,10
6510,10
6514,9
6504,9
6531,9
6547,8
6151,7
6118,7
6366,6
6341,6
6330,6
6526,6
6536,5
6509,5
6308,5
6301,5
6520,5
6011,5
6563,4
6175,4
6506,4
6519,4
6524,4
6532,4
6314,4
6042,4
6078,3
6044,3
6156,3
6364,3
6336,3
6560,3
6554,3
6192,3
6046,3
6533,3
6045,3
6511,3
6315,3
6433,3
6294,3
6254,3
6521,3
6056,3
6211,3
6528,3
6339,2
6403,2
6557,2
6382,2
6375,2
6370,2
6160,2
6223,2
6362,2
6163,2
6227,2
6338,2
6240,2
6327,2
6408,2
6322,2
6188,2
6193,2
6225,2
6201,2
6206,2
6270,2
6452,2
6527,2
6459,2
6545,2
6055,2
6065,2
6516,2
6513,2
6500,2
6491,2
6490,2
6474,2
6466,2
6485,2
6099,2
6444,2
6441,2
6443,2
6043,2
6445,2
6249,1
6222,1
6126,1
6235,1
6230,1
6561,1
6120,1
6102,1
6220,1
6076,1
6166,1
6070,1
6098,1
6083,1
6209,1
6077,1
6086,1
6556,1
6550,1
6259,1
6407,1
6439,1
6401,1
6393,1
6387,1
6134,1
6365,1
6360,1
6346,1
6523,1
6494,1
6002,1
6517,1
6299,1
6429,1
6275,1
6272,1
6271,1
6534,1
6141,1
