trip_id,link_idx,monitor_id,prev_trip_id,mode,purpose,link_id,link_length
6,1436,6002,36003,100,100,1437,11.183
6,1270,6002,36003,100,100,1271,7.331
6,70,6002,36003,100,100,71,41.43600000000001
34,1248,6002,37358,100,210,1249,57.653
34,47,6002,37358,100,210,48,50.65
34,1232,6002,37358,100,210,1233,49.32
34,2363,6002,37358,100,210,2364,35.269
38,2367,6002,37358,100,210,2368,105.906
38,2366,6002,37358,100,210,2367,49.413999999999994
38,2357,6002,37358,100,210,2358,56.973
38,1160,6002,37358,100,210,1161,30.136
38,30,6002,37358,100,210,31,48.52
39,5,6002,37358,100,210,6,111.9
39,33,6002,37358,100,210,34,49.32
39,1246,6002,37358,100,210,1247,50.65
39,49,6002,37358,100,210,50,57.653
39,1275,6002,37358,100,210,1276,62.848
39,75,6002,37358,100,210,76,7.369
357,106,6008,37539,100,100,107,89.415
357,1264,6008,37539,100,100,1265,83.47
357,64,6008,37539,100,100,65,64.372
357,656,6008,37539,100,100,657,6.564
357,1088,6008,37539,100,100,1089,64.883
357,2281,6008,37539,100,100,2282,82.456
357,1081,6008,37539,100,100,1082,52.855
357,2288,6008,37539,100,100,2289,33.68
357,1306,6008,37539,100,100,1307,6.44
357,1194,6008,37539,100,100,1195,29.646
357,1195,6008,37539,100,100,1196,30.0
357,1838,6008,37539,100,100,1839,16.343
357,640,6008,37539,100,100,641,107.79
361,1839,6008,37539,100,100,1840,107.79
361,639,6008,37539,100,100,640,16.343
361,2394,6008,37539,100,100,2395,30.0
361,2393,6008,37539,100,100,2394,29.646
361,107,6008,37539,100,100,108,6.44
361,1089,6008,37539,100,100,1090,33.68
361,1862,6008,37539,100,100,1863,60.494
361,1482,6008,37539,100,100,1483,22.776999999999997
361,282,6008,37539,100,100,283,30.923000000000002
361,1239,6008,37539,100,100,1240,35.649
361,1163,6008,37539,100,100,1164,35.328
361,1164,6008,37539,100,100,1165,35.269
361,33,6008,37539,100,100,34,49.32
361,1246,6008,37539,100,100,1247,50.65
361,49,6008,37539,100,100,50,57.653
361,1275,6008,37539,100,100,1276,62.848
361,75,6008,37539,100,100,76,7.369
361,1436,6008,37539,100,100,1437,11.183
446,579,6011,39180,100,210,580,123.772
446,1874,6011,39180,100,210,1875,3.0780000000000003
446,1779,6011,39180,100,210,1780,54.75
446,1643,6011,39180,100,210,1644,44.187
446,1640,6011,39180,100,210,1641,53.678000000000004
446,440,6011,39180,100,210,441,43.416000000000004
446,675,6011,39180,100,210,676,3.0780000000000003
446,1778,6011,39180,100,210,1779,123.772
