モニターID,ダイアリーID,交通手段,リンクID,リンク出発時刻,所要時間(s),速度(km/h),リンクコスト,リンク長(m)
6002,6,100,70,2019-11-25 12:44:19.0,0.0,2.147483647E8,0,9.63
6002,34,100,48,2019-11-26 12:03:39.0,25.0,7.2,2,50.65
6002,38,100,35,2019-11-26 12:35:48.0,28.0,6.2,0,48.795
6002,39,100,50,2019-11-26 12:41:43.0,41.0,5.0,0,57.653
6008,357,100,1195,2019-11-26 12:54:15.0,13.0,8.2,0,29.646
6008,357,100,1196,2019-11-26 12:54:28.0,32.0,3.3,0,30.0
6008,361,100,108,2019-11-26 13:56:28.0,3.0,7.7,0,6.44
6008,361,100,2387,2019-11-26 13:56:31.0,111.0,1.0,1,32.814
6008,361,100,2386,2019-11-26 13:58:22.0,16.0,6.6,0,29.591
6008,361,100,283,2019-11-26 13:58:38.0,19.0,5.8,0,30.923
6008,361,100,1240,2019-11-26 13:58:57.0,23.0,5.5,1,35.649
6008,361,100,1164,2019-11-26 13:59:20.0,30.0,4.2,1,35.328
6008,361,100,1165,2019-11-26 13:59:50.0,25.0,5.0,0,35.269
6008,361,100,34,2019-11-26 14:00:15.0,37.0,4.7,0,49.32
6008,361,100,1247,2019-11-26 14:00:52.0,31.0,5.8,0,50.65
6008,361,100,50,2019-11-26 14:01:23.0,39.0,5.3,2,57.653
6011,446,100,676,2019-11-27 18:24:51.0,0.0,2.147483647E8,0,3.0780000000000003
6011,447,100,1642,2019-11-27 18:51:25.0,19.0,10.8,10,57.37
6011,447,100,444,2019-11-27 18:51:44.0,79.0,3.9,3,85.598
6011,447,100,1832,2019-11-27 18:53:03.0,9.0,7.6,0,19.075
6011,447,100,1310,2019-11-27 18:53:12.0,74.0,4.4,4,90.71
6011,447,100,110,2019-11-27 18:54:26.0,15.0,1.8,0,7.8679999999999986
6011,447,100,1155,2019-11-27 18:54:41.0,72.0,4.1,6,83.366
6011,448,100,130,2019-11-27 18:57:25.0,32.0,4.7,2,42.637
6011,448,100,132,2019-11-27 18:57:57.0,29.0,5.2,0,42.28100000000001
6011,448,100,134,2019-11-27 18:58:26.0,21.0,5.7,0,33.746
6011,452,100,1336,2019-11-27 19:00:50.0,0.0,2.147483647E8,1,8.663
6011,454,100,16,2019-11-27 19:03:20.0,0.0,2.147483647E8,22,114.562
6011,462,100,88,2019-11-27 19:25:09.0,3.0,13.6,2,11.349
6011,489,100,1640,2019-11-29 20:12:57.0,32.0,4.8,3,43.416
6011,489,100,1597,2019-11-29 20:13:29.0,331.0,1.0,0,99.413
6011,490,100,400,2019-11-29 20:19:36.0,49.0,6.6,0,89.97200000000002
6011,490,100,1663,2019-11-29 20:20:25.0,51.0,5.0,2,71.15899999999998
6011,490,100,1660,2019-11-29 20:21:16.0,87.0,4.7,3,114.997
6011,490,100,1653,2019-11-29 20:22:43.0,56.0,5.7,1,89.12100000000002
6011,490,100,453,2019-11-29 20:23:39.0,61.0,5.7,5,97.91
6011,490,100,1146,2019-11-29 20:24:40.0,2.0,18.8,1,10.456
6011,490,100,1646,2019-11-29 20:24:42.0,82.0,4.9,2,113.098
