,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299
L0,-1738.469663064464,-1831.4705252402002,-1660.4510034069854,-1874.70132932493,-1600.9857260029164,-1626.0932361135608,-1755.7949521937367,-1648.263827168872,-1645.2514044290683,-1606.0503843978413,-1724.5398186504626,-1643.088394726731,-1818.9628364994173,-1673.5548536876247,-1655.9410351289448,-1563.655175404717,-1784.6049262284785,-1658.137101937901,-1816.8690840717243,-1629.5274252252746,-1551.64714762057,-1744.8176060705969,-1802.802890122574,-1805.2287006134718,-1637.8897680377513,-1872.3683774607312,-1742.8750310476116,-1866.0559597587476,-1719.2868057150174,-1762.4324782794877,-1732.3624147216567,-1558.933384483465,-1666.556345155172,-1860.0425389266497,-1806.2193936630708,-1571.9982212068926,-1728.9005026896398,-1642.1627695213601,-1730.3016372665209,-1806.5088957607747,-1657.7158150417063,-1733.902623042528,-1937.8573617418685,-1815.1579966921997,-1825.5252364977723,-1865.914569569175,-1516.9349986537288,-1656.2560012558038,-1763.946848058693,-1617.3600807593803,-1702.2456305232936,-1602.9711839199065,-1798.638869749818,-1755.5892501015376,-1844.6115950285293,-1577.6749187247983,-1874.8409952920695,-1663.3424402957821,-1936.1345953277091,-1877.6185155249705,-1884.349899163781,-1593.3440463305642,-1563.321175296625,-1874.7027483614177,-1783.7654125133342,-1851.9475955214484,-1740.43201615504,-2038.4255823665424,-1810.4228699188916,-1555.8088252054692,-1965.1624937039742,-1840.6666399569744,-1870.756108064553,-1667.2774116160685,-1620.4456698106603,-1784.7811811664556,-1932.1939180151894,-1552.1679825328604,-1617.2031430920788,-1622.9704151158376,-1790.3164472893118,-1573.9319488396902,-1713.356136168952,-1738.335483771755,-1767.4537296875617,-1586.5975871745388,-1889.7424708405363,-1929.5233719862022,-1640.9456819805694,-1609.57343696742,-1518.5381333619061,-1649.9191743684246,-1803.3740832108617,-1782.047245953046,-1743.3085745880248,-1635.655849218931,-1806.7954461882425,-1730.0360732968832,-1596.7471090849544,-1647.1230034800499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL,-1689.5463732974667,-1775.086766177009,-1608.258822574656,-1814.7361538743708,-1552.956211093447,-1580.9378305165224,-1687.6121811945277,-1603.3822740275102,-1596.769007414768,-1559.3807816622168,-1682.759525268161,-1596.3740216203662,-1775.9411427510456,-1630.1058538572947,-1596.9580468125107,-1517.179056541838,-1749.9722723657,-1604.7001871100063,-1769.0670813986058,-1581.0690596262157,-1505.4708432938735,-1696.568507076423,-1744.2115191601276,-1753.1284882677455,-1586.7598118255094,-1820.6479789627397,-1693.2770016216286,-1783.0985383006052,-1697.5602956590847,-1708.3987125085957,-1698.4741300431044,-1490.5174444433273,-1607.354179543357,-1799.7599788749776,-1741.4035581715318,-1512.8031584523296,-1655.7413843812853,-1625.9221497944263,-1677.3102980084416,-1752.1878439937695,-1609.5479819200666,-1692.0059359658142,-1874.0428192975078,-1773.7363611378257,-1771.3251269813616,-1800.8459732596982,-1485.48887770995,-1602.4155566432848,-1713.1362551275222,-1572.1917750681837,-1650.3001268996445,-1539.6314608432413,-1733.4332625809066,-1700.642839816759,-1778.5330096860864,-1527.9380007143766,-1831.0020068633507,-1636.1138987813795,-1876.776987128078,-1818.5276218648817,-1824.0253943975283,-1551.190151598174,-1516.2585248688124,-1810.7941420040795,-1742.2303049119776,-1791.932790130668,-1697.7374007412197,-1979.3048753181529,-1750.2864528248886,-1524.1630237323945,-1875.5778308438225,-1771.9804900215627,-1816.5938167747552,-1625.0459587394607,-1563.147717220297,-1701.078985127783,-1889.6091271161922,-1500.1186519804635,-1558.7282261656562,-1568.724609439501,-1751.874796513463,-1520.5783790641688,-1662.973790766565,-1673.7088203504122,-1692.6771711816746,-1560.2473910367803,-1836.040269637552,-1875.6182422681738,-1612.9200884725324,-1579.7108751995931,-1469.8011161819113,-1609.402539610653,-1739.3176084403256,-1746.6078718259055,-1698.1101457550453,-1599.2063469129582,-1740.9460338357644,-1678.116244318344,-1538.1080275583438,-1583.160807578293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
runtime,46.373120069503784,46.31513714790344,45.20811700820923,47.79512596130371,50.75175714492798,48.47014093399048,48.93131113052368,51.183624267578125,42.927308082580566,47.07816505432129,44.17367196083069,44.04124689102173,53.149450063705444,42.14077377319336,50.853991746902466,49.9001100063324,48.152122020721436,42.207494258880615,48.245908975601196,49.210755825042725,40.72496700286865,43.97770380973816,40.63447403907776,47.79465699195862,56.19456887245178,49.1495680809021,39.522682189941406,45.13007473945618,47.99994397163391,45.84495735168457,48.46760320663452,52.06928300857544,43.145981788635254,48.77405905723572,57.26501107215881,42.13528108596802,49.955034017562866,45.8723840713501,51.719545125961304,50.283395767211914,49.81425976753235,33.998887062072754,46.38498306274414,51.38926696777344,41.922264099121094,43.53605890274048,48.72699594497681,49.190967082977295,39.22204875946045,49.24812197685242,51.70870399475098,42.517863273620605,48.706454038619995,47.73496079444885,53.39815902709961,45.721429109573364,50.59953498840332,44.05038809776306,41.40418887138367,56.83175706863403,39.40725111961365,52.19319200515747,48.34510898590088,42.864181995391846,44.85490298271179,45.47080993652344,51.451579093933105,49.23684811592102,45.87808012962341,47.99006986618042,46.40036988258362,39.911614418029785,39.962095737457275,47.86683964729309,43.61760997772217,47.09099292755127,42.40384006500244,45.94634699821472,38.13145089149475,38.10463571548462,40.35166883468628,39.782909870147705,34.95914816856384,40.950363874435425,40.139445066452026,39.17689108848572,35.18174695968628,32.14236617088318,37.98880481719971,36.041123151779175,45.81847906112671,45.63437819480896,47.71411395072937,44.5221152305603,45.719619035720825,46.53637671470642,37.819560050964355,42.166183948516846,43.58424377441406,51.2489058971405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beta_length_g,-0.37210928059666576,-0.364858143252792,-0.39365666686546424,-0.347578787164408,-0.37762385274151794,-0.34652947936478623,-0.40418250800451416,-0.3675873840275058,-0.38629265860810547,-0.3807180912905437,-0.3430082398859172,-0.3341410229893564,-0.34267145730560383,-0.3518955187143676,-0.39961893174007357,-0.3517341366570489,-0.330636139585292,-0.3773362191301183,-0.38667985367694996,-0.35224716780937626,-0.4002139758340231,-0.38058325858031805,-0.3601005327129167,-0.36802455289784936,-0.36313638686441174,-0.36322434184704455,-0.41438143432897256,-0.44718755721898507,-0.3509019048294053,-0.3905716557006532,-0.36280238628085104,-0.39223660220689965,-0.3774556952193789,-0.36932670067695406,-0.4250769266319564,-0.37040960670501694,-0.3839264629684581,-0.32614934660674766,-0.3860814169994682,-0.3825193531482957,-0.3646501274426248,-0.3837995292252564,-0.43839857982885283,-0.34123145648573155,-0.3480698333999808,-0.32516501674084125,-0.3905504239590676,-0.414329646581866,-0.3771699168556733,-0.3587424481679001,-0.3912949907891732,-0.3883188873043888,-0.4113448836492903,-0.3930144347059507,-0.4742828702766471,-0.4012802097081124,-0.3743232628308115,-0.3610104422479584,-0.4097821390650104,-0.3694430962330328,-0.38785928061937125,-0.4210820376409934,-0.38227066464370174,-0.34939032688797267,-0.35058433048191806,-0.4037488599422852,-0.3386735591767671,-0.40018652991704073,-0.37158779255887553,-0.34687942478641254,-0.40370157248162525,-0.38607694103506285,-0.35908425510272396,-0.36516357165352176,-0.35942558678396397,-0.3892839416808746,-0.3469815202432299,-0.3760977174048025,-0.3585845728564102,-0.36611941618187827,-0.369750464084073,-0.373331901927693,-0.37687085428806977,-0.3474386748698707,-0.4560425201329212,-0.34931284092595083,-0.37165572730284363,-0.3611923685485381,-0.3467754804002552,-0.3367073817832709,-0.3916487828978358,-0.411915419319543,-0.36720865434757627,-0.3454927881640932,-0.36683180880514654,-0.3622215346306163,-0.3750547161241091,-0.3827640111213623,-0.4701911024422154,-0.3677364110668486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
se_length_g,0.2051920966932257,0.38806376271989707,0.386029750380746,0.5015201876821768,1.188539676883533,0.35192120753043926,0.43553609815315053,0.15498759807029136,0.7897627221330003,0.6673213616745971,0.33360337524316486,0.6203870836543389,0.22516346420435004,0.31315662924570636,1.0078859783491314,0.8061938383798756,0.19141368005002055,0.43026368473204263,0.7123916941639076,1.2271403548946913,1.0518297508823222,0.3612095378983678,0.1036216576646715,0.04401321340564458,1.3023967480870606,0.2631972664694867,0.4221550657737688,0.6649535944913184,0.2551624002779831,0.2207582602341276,0.4385072081122972,0.3759102848540679,0.04895923729632963,0.8478701501499708,0.7935822847863335,0.8407253126175924,0.2946878523792486,0.2731223346454498,0.27786371836336626,0.6877910546191952,0.22411428128123026,0.17168579686033447,0.9141069178293262,0.34513305877240835,1.5788297617814917,0.7507442865397154,0.26015670811791425,0.6918349672310561,0.288059343154435,1.120710069832938,0.816614191164408,0.3914992995707553,0.07242712700162636,0.17568229673920346,0.5835713520159841,0.44143095477297617,0.09593381864977493,1.2941468448144196,1.0815763600588428,0.7363389795469875,0.5156098042033306,0.2935420476619403,0.5838255759577736,0.45525786191222095,0.22584776317785843,1.1667703637824802,0.3541200565789128,0.7927000159487692,0.5280733409025635,1.0147805659399285,0.5629086925837934,0.36444755341444024,0.8279406145513573,1.1122139576735504,0.2810261340816137,0.7513587179153799,0.4114250778170381,1.5331936986851393,0.3535871219052639,0.7219739295108298,0.30995320233639867,0.5132545658155381,0.3219003421457631,1.1170485124446032,0.514821667264188,0.4608270360636665,0.46475177266600926,1.0629181376501617,0.6010310563589489,0.35710358567395245,0.057730685631616416,0.20431941106071724,0.7029777397908067,0.32056835789609717,0.44529112400253584,0.6714704383569449,0.7553162020819858,0.29727267935653795,0.21783847367011308,1.056338727260267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t_length_g,-1.8134678995604354,-0.9402015295000508,-1.0197573282297432,-0.6930504408422249,-0.31772086375078745,-0.9846791609875154,-0.9280115005814942,-2.37172127708434,-0.4891249583986464,-0.5705168651205137,-1.0281917550621216,-0.5386008699941435,-1.521878598361801,-1.1237045166885682,-0.3964922028130901,-0.4362897853001365,-1.7273380852345015,-0.8769883039632168,-0.5427910752535843,-0.2870471714212388,-0.38049311259574614,-1.053635684136894,-3.475147385484149,-8.361683331457256,-0.2788216320393771,-1.3800460267665975,-0.9815858387710024,-0.6725094215951689,-1.3752100797261673,-1.7692278209043149,-0.8273578622405245,-1.043431419704757,-7.709590999851542,-0.4355934698392528,-0.5356431649005439,-0.4405833881125206,-1.3028241913221583,-1.1941511375484328,-1.3894632205798965,-0.5561563364037683,-1.6270722479530113,-2.2354762959074326,-0.4795922350854659,-0.9886953678081309,-0.22046064865614898,-0.4331235316349485,-1.501212199310476,-0.5988850899516474,-1.3093479722803651,-0.32010281501385734,-0.4791675126674283,-0.991876327058941,-5.679431183844328,-2.23707477646067,-0.8127247313258387,-0.9090441106797484,-3.9018905751823705,-0.2789563206791477,-0.378874903518339,-0.5017296469356037,-0.7522341069884293,-1.4344862720516802,-0.6547686164940302,-0.7674558884506189,-1.5523037534174193,-0.34603969424917247,-0.9563806197497781,-0.5048398156496368,-0.7036670170165594,-0.34182702786106234,-0.7171706136364755,-1.0593484231626222,-0.4337077427917989,-0.3283213352378213,-1.2789756652297044,-0.5181066412071854,-0.8433650230663227,-0.24530345886977126,-1.014133577388843,-0.5071089151791683,-1.1929235165080667,-0.7273815505849143,-1.170768728532183,-0.31103275372483064,-0.8858261979461259,-0.7580129063384441,-0.7996865190440737,-0.3398120285603945,-0.5769676570475807,-0.9428843486626204,-6.784066023344575,-2.016036641751746,-0.5223617101401402,-1.0777507500477466,-0.8238022027204331,-0.5394452442567012,-0.4965532515922369,-1.287585566052941,-2.1584392073654364,-0.3481235720862136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0_length_g,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beta_crosswalk_g,-1.0466659500538071,-0.9948842936374126,-0.9799983056485911,-1.0093921807064294,-1.0698564961627088,-1.0145843676926507,-1.0098112329087379,-1.165728303550387,-0.9908764877628722,-1.0265177414659852,-0.983624935733908,-0.9512608297332233,-0.9584844565886473,-1.0581867724134875,-1.0632348493127128,-0.999281233136708,-1.0360982535710006,-0.9429733724266983,-1.0439570564837506,-0.8714127095155383,-1.0765656642855694,-1.0883481589216057,-1.0529451712786195,-1.02227139635721,-1.0154422355039128,-1.0807001664621003,-1.1646642360879935,-1.254902858516276,-1.0824537406545658,-1.031849300471286,-1.0666586165344658,-0.9161013620536326,-1.121163677820617,-1.0628116768588804,-1.1622067912652574,-1.1320921104923294,-1.1878041079290178,-1.067176095114592,-0.9554112662431241,-0.949232554588389,-1.0310918791214239,-1.016747018584392,-1.1763650823974454,-0.9131721303176887,-1.006074326178246,-0.9756289518088689,-1.2132385264931336,-1.296307580955058,-1.035789572157951,-1.010116761908921,-1.0918978679289948,-1.147584646079159,-1.1654582396298394,-1.06189940806174,-1.2433434330533395,-1.071041225102286,-1.100975840116811,-0.9798790789433751,-1.2076165786822974,-1.0004885871623252,-0.9836480274330214,-1.192618666821025,-1.050567055703739,-0.9960080755029029,-0.9570888854076764,-1.107099863206338,-1.0265907805083807,-1.2087433526809777,-1.0655099375073875,-1.0945217092367023,-1.0105939092822838,-1.0135443398744555,-0.9133401020305937,-0.9753180235527527,-0.9731405166900587,-1.1495944619193932,-1.130294379934804,-1.1523914881403896,-0.9396871456255574,-0.8311637513599849,-1.0935557194900312,-0.9917966303879632,-1.0407367806678873,-0.9489699014087961,-1.2450619239872496,-1.0578723829508316,-1.037415899201358,-1.0534044960806215,-1.096860461723602,-1.0306158447455476,-1.1808644158797044,-1.200241114967707,-0.9906762264530957,-1.0655100941160423,-1.0322834757900203,-1.0280030790979064,-0.9909939846567763,-1.013160991059667,-1.2602203830173393,-0.985349211718984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
se_crosswalk_g,0.934237910254762,0.684359982284799,0.5682500569640193,2.224314345784409,1.639639694288341,0.7939689311782009,2.0642293241523806,1.1518428788383466,0.39810080767877815,1.6222740048185995,1.615405650299437,3.899441885658197,3.795635797824791,1.517737291430692,2.305240380732457,2.966956672357821,2.3584213071920197,3.1183380608448372,3.507410401445419,4.993078777385256,3.133238930874831,1.1182497446663169,0.5567819136622578,0.9181463522511796,3.989470756782067,0.8178177222352138,2.781514087261425,4.579553567829562,0.9789216449192454,0.5842627048451586,2.026021275434391,2.4478902170430183,0.4865307575805116,1.1456739740656445,4.231412576132784,3.8122417421456913,3.4987867717823233,6.780786844245136,1.8119600065311305,3.338836427006835,2.858313605044666,0.8781152186461909,4.87059767377013,3.159373353244785,1.532980814580188,1.6708003551069457,3.1924574634373064,5.491786394873362,2.508674129106083,4.62940355518926,2.402834829873402,2.120857654415704,2.4863200031081787,1.0140333372374202,2.2701293816726476,1.9134148645041091,2.299045556635,2.78391819042168,2.249371914492218,3.9612420956184926,1.2226790219156518,1.2350229721548267,1.6591426918091348,3.4549568308195155,1.7072902535606858,1.1384378237887898,2.0491902090755865,2.0581370808235726,1.8700577604298307,0.8485639169256637,3.226971178395941,0.7681678859526435,5.90681154783677,3.694477754350436,0.6313126739565211,2.347425724793771,1.2578417037874228,3.134592667520979,2.175864270001855,1.4049746188774879,0.7080398186417279,1.981890497791145,1.624297379470725,1.8177794320469636,0.8819073726882641,3.0718044631903876,1.2383333852186744,2.014448472755273,0.6226224810002139,1.6937840487685512,1.8483461191126707,3.018509578089252,2.2164225817790024,2.762225943488537,3.0289009341795134,4.289411299929667,1.5736983833163227,4.858830796443346,3.6567888900432477,1.4831530427579003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
