,0
L0,-2530.764536429822
LL,-2290.697786601165
Lv,0.0
b0_crosswalk_g,-1.2
b0_greenlen_g,0.0
b0_length_g,-0.3
b0_sidewalklen_g,0.1
beta_crosswalk_g,-1.4361031184811144
beta_greenlen_g,0.2910049042239484
beta_length_g,-0.45694507491340774
beta_sidewalklen_g,0.097796779584815
gamma,0.9
mu_g,1.0
runtime,42.20120096206665
se_crosswalk_g,0.4182826157857348
se_greenlen_g,0.58917955794457
se_length_g,0.051358697315728175
se_sidewalklen_g,0.06203302009239786
t_crosswalk_g,-3.433332068518855
t_greenlen_g,0.49391548009431474
t_length_g,-8.897131329175519
t_sidewalklen_g,1.5765277821255068
