,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
L0,-2168.34161757984,-2272.0104078095715,-2099.462967559119,-2309.698570347956,-2066.2586561802764,-2015.613373928089,-2183.9956364335476,-2058.253348230582,-2053.780894427259,-1947.6362686975156,-2140.1241867100975,-2082.1111893251436,-2207.875205913673,-2061.896018208306,-2136.5802596979443,-2043.3652473315128,-2137.013901130217,-2018.51314229541,-2228.230875115022,-1984.3868163246295,-1937.7249368884727,-2191.0344508568514,-2300.8793033489974,-2348.253593943363,-2062.964570363644,-2294.635668627213,-2138.1663355494993,-2346.614992298858,-2094.5987978555663,-2116.042823606819,-2075.2549574228,-1971.5233687449122,-2069.2698663354136,-2368.849997267849,-2279.9895605265565,-2004.7154945001932,-2210.871324502996,-2027.6929410274581,-2173.3807702995464,-2189.1601037520013,-2069.1862909554993,-2103.8537370239283,-2477.2272354547954,-2187.8849889136372,-2261.3177835408005,-2238.7876224621637,-1923.399517559292,-2097.337732109791,-2170.8968536532348,-2040.2525198369474,-2104.3862135298778,-2008.3417085086883,-2251.9883379947873,-2203.224538170979,-2299.572697823462,-1982.9189657964914,-2429.5855775633913,-2022.7192969826624,-2459.501614774371,-2342.299374296914,-2347.262728934802,-2041.8968642771265,-1969.2803991044314,-2404.2113133612334,-2208.674603347507,-2289.824823612136,-2172.5718135613233,-2486.0580011695693,-2277.471284775846,-1962.5546477246967,-2388.368957068544,-2288.6504130591384,-2322.7847327828,-2110.124610136786,-2031.1763657644367,-2207.5530447959773,-2389.5742417931656,-1928.654822750985,-2041.8315715798358,-2048.488213335754,-2207.655952730451,-2042.6046408084937,-2122.2792395009405,-2202.0419794284317,-2225.083990540141,-1965.8541964890858,-2349.841721685527,-2338.2032881055634,-2014.2445625390444,-2016.2826511723683,-1901.1800112564858,-2002.2497138679828,-2196.548187411958,-2197.534532127534,-2127.7512494556627,-2018.9531409158808,-2303.0496765373464,-2081.3590033335636,-2002.9729591269952,-2037.5750502722676,,,,,,,,,,,,,,,,,,,,
LL,-1739.6923833028495,-1798.6182815430989,-1637.559545389952,-1866.4792095200703,-1609.8788803760792,-1617.5708848769625,-1755.0484289361,-1672.760511231184,-1655.615652199209,-1576.2323393677532,-1736.9641535434052,-1664.3136171823487,-1798.8337518427284,-1684.9394231994254,-1673.3618429141163,-1594.3493162097802,-1770.8654284315407,-1631.3289503776734,-1807.526665764982,-1599.3266851550136,-1565.569060263658,-1769.1293213893873,-1816.6206350478817,-1847.3123383605327,-1664.9384635036724,-1896.6794285651006,-1724.8948930878641,-1865.6992433576027,-1709.2045342841516,-1724.059345553692,-1704.4596422290472,-1574.7299901508218,-1666.859620370279,-1864.604960692161,-1813.3470739211675,-1591.7251211233477,-1741.5386564902271,-1648.2520230700484,-1726.188772078169,-1767.6026280755723,-1672.778062897155,-1716.0393083750334,-1939.5628823336535,-1797.4415709758482,-1798.183029617837,-1861.8605094429472,-1524.5991479029342,-1672.539655870037,-1755.5793147208196,-1628.1901217863615,-1700.6265624167436,-1602.46169506502,-1807.9323433082052,-1766.1958716934816,-1827.7050657619586,-1555.8404231911672,-1907.552562504077,-1640.183877996982,-1951.1392006495978,-1885.094268524907,-1867.9236002027403,-1578.0378813847617,-1548.4828146061584,-1918.4764419351573,-1780.897254984387,-1865.1750004182027,-1736.2026138185533,-1978.2062396092444,-1829.2123182857817,-1549.437481953582,-1931.8204582967778,-1835.7333011945782,-1872.4331617531686,-1669.8364699464805,-1634.3391048259184,-1783.9245704855691,-1931.456349175952,-1553.0472744525707,-1629.7562754965709,-1603.669723454903,-1793.0224803622864,-1594.5893299464542,-1728.538891942914,-1760.105586024511,-1761.9512893327646,-1587.099647606413,-1875.412652000477,-1905.888583473737,-1621.741626690892,-1611.7616701809525,-1543.302939344802,-1645.0342526863776,-1769.306587674682,-1798.358752227293,-1758.4658165825017,-1644.557026368278,-1809.5396728264802,-1712.443593652548,-1574.8199445521773,-1653.3051471585159,,,,,,,,,,,,,,,,,,,,
Lv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
runtime,67.11896800994873,49.93510103225708,52.0198118686676,52.13065028190613,50.86733531951904,53.539308071136475,54.38190793991089,53.36716914176941,53.18456029891968,53.80478501319885,52.60647487640381,52.1279981136322,57.82908296585083,54.407942056655884,49.69814085960388,53.0400230884552,52.383278131484985,49.19439220428467,60.18450403213501,50.567007064819336,52.17540907859802,54.76968193054199,54.69042110443115,57.01534700393677,51.99516820907593,52.20939898490906,53.07962489128113,53.1517231464386,55.34866189956665,46.29849433898926,58.763506174087524,44.95530700683594,53.175084829330444,55.48391890525818,65.15025687217712,53.5963568687439,52.157700061798096,50.76390218734741,50.14640021324158,56.470314025878906,52.27936887741089,55.39685821533203,55.88954305648804,49.51201415061951,55.99904680252075,52.29108190536499,51.35079598426819,49.613608837127686,50.94219708442688,51.997857093811035,54.679643869400024,54.001079082489014,55.02862215042114,50.88983964920044,52.373390913009644,56.83102488517761,55.77976965904236,51.28462290763855,57.57521200180054,61.79501986503601,57.25738883018494,55.63155198097229,66.53462290763855,46.63680815696716,53.71113705635071,51.008063077926636,52.20363402366638,52.363885164260864,47.17836093902588,53.500218868255615,52.08742618560791,56.33410096168518,45.26200008392334,41.86477613449097,39.73644280433655,42.1741828918457,39.647993087768555,38.58367991447449,37.48123097419739,39.593706130981445,41.291385889053345,36.31223392486572,37.34225416183472,35.01128911972046,39.25245404243469,38.04234004020691,38.02155113220215,41.008963108062744,42.97432899475098,34.10795593261719,44.06696915626526,36.715155839920044,39.76754426956177,42.06358599662781,42.25749897956848,38.4931001663208,39.17545413970947,47.343400955200195,42.5858690738678,41.29147911071777,,,,,,,,,,,,,,,,,,,,
gamma,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,,,,,,,,,,,,,,,,,,,,
beta_length_g,-0.8295741724888985,-0.8901375979208499,-0.8567519250954565,-0.8227034127883455,-0.9113478401517053,-0.8002192557338162,-0.8612956575623858,-0.7208382467656643,-0.8248423312124787,-0.793660208709105,-0.7808581591938409,-0.7195732365811173,-0.7849573648210171,-0.7742888024658086,-0.9086265031335894,-0.8866259353436705,-0.7027967949774527,-0.8021579476364095,-0.8402753008590949,-0.7712876349278667,-0.7379133247202696,-0.8570060666248686,-0.8705538551402383,-0.8174133616529061,-0.744249622358972,-0.7942280198347356,-0.853754255564753,-0.9069032245958588,-0.7478265990339236,-0.7833692245887598,-0.7296034591815304,-0.8406452012642032,-0.763319004558022,-0.8328430698689181,-0.9434945532212751,-0.9091210378323981,-0.8012006475029765,-0.6765363423742117,-0.8996394015761643,-0.9002636781313753,-0.740073274641766,-0.8271080587305523,-1.0363618133297232,-0.8127476980383096,-0.7699896315240959,-0.7108205742901145,-0.8346362450820418,-0.8572447269953463,-0.7831906287211573,-0.7723273154117216,-0.8732254210582974,-0.8779033738734077,-0.8883893704988964,-0.8588214530517266,-0.9878808852804173,-0.9188989680863473,-0.8954467761642229,-0.7585529039221764,-0.9468713471809039,-0.8737814813644545,-0.9142707781114118,-1.0496619774978067,-0.8583359660456744,-0.7767184482136448,-0.8072910116213113,-0.8635936859050207,-0.7296237393414123,-0.9781199488111971,-0.7818804294156652,-0.847855591826232,-0.8581580638073105,-0.8142875424724471,-0.7439414301306865,-0.8238736194544427,-0.823834749115286,-0.8013362002008592,-0.8234243768249377,-0.8323837319480262,-0.6921255756588123,-0.74841435516161,-0.7623144780529617,-0.8167549120143115,-0.8084645317093122,-0.7918369209633861,-0.9790561011008158,-0.7458623598580035,-0.8431548407508128,-0.8424692533002444,-0.8778870669202696,-0.7691445779777454,-0.7729774417132819,-0.8184085322465451,-0.8040189993964888,-0.7416203546753393,-0.7699646007847556,-0.7383423715753138,-0.8551664684702167,-0.824907321661322,-1.022327962475779,-0.7491981970635745,,,,,,,,,,,,,,,,,,,,
se_length_g,0.44481515992164616,0.6105579271619218,1.9293880947121524,1.1922014869400985,1.0577771339838922,0.3356902763550477,0.2681946123760627,0.26350018721654594,1.5266302582271485,0.18849746175898874,0.5516643776190373,0.17935367102883662,0.6148567758479074,0.9934147888580218,0.5130253020109821,0.5589222835920818,0.2443961907255757,1.4271088397669616,2.329503643139889,0.49955127572943175,0.6963139045101927,0.8551390838829083,0.5816586035641166,0.4163706351964913,0.5012518170707412,0.5960711884334772,0.9223708051781365,0.17830611603629654,0.675912951019953,0.44411244282556556,0.37292430039190005,0.4531712793615349,0.6314426100678232,0.6607446302826593,2.302681368982852,0.3318154257842112,0.9199276139783784,0.7569703139832121,0.24147202970514806,0.2810321764634023,0.5849541331177217,0.762186742149206,1.1661855930407365,1.1635336042758935,1.1245955913618282,0.10595406967397532,0.513947787875994,0.5179378226606807,0.5452868659383804,0.29792417674587607,0.46882910542963707,0.5801412313313064,1.1055753733479288,1.7964862341297858,1.6576156945826634,0.41932107227977033,0.4833865080853397,0.34439507355426485,1.377328647003313,0.37959573564935956,1.0183993032405327,1.4966431753360532,1.1936751408972477,0.3994034178130809,0.3239484868186274,0.2342085114516417,0.4857345206385445,0.18487319380123157,0.45136761314693163,0.8089018380501781,0.6567029281985111,0.18114168879398596,0.2908374990800876,0.31191522145044415,0.10982399409015275,0.9726954749447919,0.38096338330582835,1.438279423217816,0.25008022704072147,1.2936511325745181,0.8812853555086553,1.3536969009851607,0.5013188757125382,0.4973029724108194,0.7737293659032138,1.3142240849879112,0.2531414032447889,0.3371427978912242,1.2213076195294488,0.2170502644229778,0.6709525383430863,0.7180370146216203,1.4990101136004876,1.393428634395745,0.7231032988533476,0.3755216494524384,0.867059868911643,1.2768176971057212,0.8679082310676592,0.20262328310701958,,,,,,,,,,,,,,,,,,,,
t_length_g,-1.8649862847188647,-1.4579085101040425,-0.4440537015044017,-0.6900707823305052,-0.8615688606533853,-2.3838023085525797,-3.211457716960684,-2.7356270763226265,-0.5403026219134128,-4.210455680956979,-1.4154587297515844,-4.012035173037655,-1.2766507512884369,-0.779421457330921,-1.7711144061938273,-1.5863134488850628,-2.875645454583209,-0.5620860338636801,-0.360710017918884,-1.5439608953088,-1.059742337386382,-1.0021832503941732,-1.4966749392270902,-1.9631868641917,-1.4847818940752822,-1.3324381973938892,-0.9256084979834854,-5.0862149025289005,-1.106394836650863,-1.7638983938498756,-1.9564385008292622,-1.8550275349500822,-1.2088493750461884,-1.2604613517822112,-0.4097373461783115,-2.7398395830567104,-0.8709387948884939,-0.893742237808834,-3.725646414098885,-3.2034185176251984,-1.265181717235301,-1.085177703823976,-0.8886765704483554,-0.6985167381943473,-0.6846813534024951,-6.708761414047958,-1.6239708872595127,-1.6551112691319272,-1.4362910197247645,-2.5923620024651535,-1.8625665747822326,-1.5132580248757663,-0.8035538706046385,-0.47805623930524466,-0.5959649685442531,-2.191397067384344,-1.8524447025032313,-2.2025660706864163,-0.6874694353021951,-2.301873807590886,-0.8977527529744125,-0.701344177954854,-0.7190699853232183,-1.9446965488341055,-2.492035136664485,-3.6872856607661397,-1.5021039443156152,-5.290761352145155,-1.7322475220683218,-1.0481563422700957,-1.3067675305810464,-4.495307225486583,-2.5579281642970946,-2.641338295782197,-7.501409468308112,-0.8238305007498274,-2.161426564620548,-0.5787357578166286,-2.7676141526619413,-0.5785287364702238,-0.8650030019084719,-0.6033513938163805,-1.6126752270403135,-1.592262594218427,-1.265372808950987,-0.5675305820200854,-3.3307662434638488,-2.498849919291643,-0.7188091295610733,-3.5436242384799446,-1.1520597919223101,-1.1397859937315584,-0.5363666276175465,-0.5322270092410869,-1.064805819591361,-1.966177909188238,-0.9862830689461441,-0.6460650753284626,-1.1779217270680336,-3.6974931289997426,,,,,,,,,,,,,,,,,,,,
b0_length_g,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,,,,,,,,,,,,,,,,,,,,
beta_crosswalk_g,-2.0967300046095163,-2.2350292689211333,-2.1227508454850086,-1.981580980843331,-2.2635075726104876,-2.1568631967973038,-2.2208157007830205,-1.915500805236438,-2.0448143858646066,-2.0968656990377452,-2.0954855854943784,-1.8355810101987287,-1.828739472563563,-2.001659345269251,-2.257700681720736,-2.3768505070847987,-1.93551467167467,-1.871928351135602,-2.1274869412685655,-1.851917117900412,-1.7055612100351016,-2.2269854786047367,-2.4035667271558294,-1.9091849991529863,-1.9093356306657758,-2.1670963048205905,-2.126459284201877,-2.129629736654726,-2.0083351870469817,-1.9118425299184874,-1.6832951108467669,-2.0111479089319153,-1.9691221064820936,-2.13092928919239,-2.3448921109344094,-2.5518396714626115,-1.9604699899407148,-1.907978290641689,-2.0193596317087357,-2.16505784173213,-1.8210081538429403,-2.1520055440751142,-2.653898870220218,-1.8521975123578855,-1.8453654182451935,-1.8861854844930592,-2.3333179296148154,-2.1959617629921557,-1.914280952835247,-2.0480146420999046,-2.2165985905425245,-2.3004687147090443,-2.1656713863615495,-2.2665744067104057,-2.5178591201798346,-2.2562727665557363,-2.3192619580875955,-1.8510979894365727,-2.516259228400331,-2.0446485226642674,-2.1143558614070526,-2.6700326515044566,-2.102814229725392,-2.009301520034685,-2.1722466675099867,-2.290192470746276,-1.8255332435590104,-2.57381706204735,-2.0370729118463524,-2.002232803885068,-1.9634726145073584,-2.017038381312462,-1.768434237824739,-1.9943446046479352,-2.040209354485402,-1.9971474259884425,-2.207520281961929,-2.258065820321194,-1.810887404930041,-1.696261442535701,-1.8649116843765141,-1.9720421929613963,-2.05185656155772,-1.847708978320161,-2.6122859256402107,-1.9212020465652788,-2.004552778474203,-2.131364419818707,-2.4176010540681707,-2.046308596784617,-2.2203642406855058,-2.152821388392094,-1.88126420133769,-1.9356053912732216,-1.8441365415551043,-1.850479817125969,-2.025263039205437,-2.0885960938147905,-2.46366542673694,-1.741000061151236,,,,,,,,,,,,,,,,,,,,
