,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299
L0,-1776.168996093462,-1881.9288246752012,-1674.9419990570761,-1936.9542903589697,-1621.2436067505691,-1678.957254093225,-1782.9427817384696,-1694.6423379183705,-1684.9537513733935,-1640.7898114694262,-1787.5321883448041,-1715.5214529026136,-1876.7793021603036,-1715.7680716596474,-1665.4470148458806,-1603.3029435126673,-1856.3129827552914,-1693.0651143481828,-1857.3145190120492,-1681.016694588769,-1569.3729847331606,-1783.7908946573898,-1853.8234102606302,-1840.2777481243515,-1686.150409227174,-1926.9221531484127,-1770.7779596226942,-1883.4353400051461,-1774.2847470105462,-1800.9967210059265,-1777.043741822607,-1578.4411284410428,-1700.2434482418194,-1890.7838421899914,-1821.6316604095066,-1595.5965614373133,-1750.7784826062893,-1701.0652697518346,-1756.137660048038,-1851.1988452211458,-1706.4408815212348,-1775.3697010205735,-1940.3226203618117,-1897.1462844560456,-1884.8852049263216,-1947.834685871395,-1539.494987666053,-1674.1926052429535,-1813.4284080007903,-1663.8427894699407,-1732.7669059423047,-1625.9422903731886,-1817.2049568658665,-1797.0745029828706,-1851.0941508662747,-1593.1914751598827,-1910.2475115943394,-1706.2306545481028,-1961.5582785258955,-1916.8163735001324,-1912.448050175006,-1596.11473093182,-1585.896925167999,-1933.374731375553,-1837.2123462577904,-1883.4229645192777,-1793.7612959352898,-2079.5697710453724,-1855.5194622455592,-1584.7011464188956,-2010.6795300850301,-1873.7524842577623,-1931.6673572157172,-1701.0608643653338,-1651.8196747002953,-1814.1638887558527,-1985.6961827628322,-1584.920076901046,-1661.3901661907182,-1660.7137242369413,-1836.8617141994703,-1594.7460753638404,-1743.3827044895306,-1790.3670199160058,-1774.4379214428166,-1637.7929180923263,-1947.4631972362347,-1986.1858985273266,-1693.5795307452952,-1658.0964856839119,-1535.7841092844933,-1675.4500791776438,-1844.8390334943776,-1835.1650005519325,-1793.2005478190458,-1678.4170156711791,-1851.3299428196951,-1777.5903727849502,-1588.355662183903,-1690.8402348444927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL,-1689.5462257147199,-1775.086722641038,-1608.2587846559368,-1814.7361040226763,-1552.9561671709964,-1580.9378084793984,-1687.6118871185265,-1603.3822451589474,-1596.7689812527228,-1559.3807399059283,-1682.7595046782164,-1596.3740181338492,-1775.9410669550837,-1630.105812126891,-1596.957928930587,-1517.1790482377437,-1749.9722519831062,-1604.7000681196787,-1769.066941848946,-1581.0690518913543,-1505.4707496319695,-1696.5683596345632,-1744.2115080110655,-1753.1284649439813,-1586.7597956375762,-1820.6478779914669,-1693.2764349879305,-1783.0938741666919,-1697.5602589038479,-1708.3982079039652,-1698.4740383761005,-1490.5173986964223,-1607.354062328307,-1799.7598560841047,-1741.4024264874995,-1512.8031182479704,-1655.7412226935849,-1625.9221466968281,-1677.3102278390509,-1752.1876885941422,-1609.547974566654,-1692.0056964733633,-1874.0414999704028,-1773.7363218375626,-1771.3251010282036,-1800.8459454924125,-1485.4888153129373,-1602.4150459907548,-1713.1360812232103,-1572.191755522296,-1650.2999351283122,-1539.6311914406385,-1733.4329601647794,-1700.642714894214,-1778.5279399297488,-1527.9379080623014,-1831.0018981001344,-1636.1138703938432,-1876.775766965343,-1818.5274694709897,-1824.0249103859055,-1551.189855383659,-1516.2584917635056,-1810.7941138983472,-1742.2302851738639,-1791.9312286441627,-1697.7373790994816,-1979.3031992688207,-1750.2862987580477,-1524.1630064748085,-1875.5765962521868,-1771.9802040823095,-1816.5937781061948,-1625.045926673875,-1563.1477018893079,-1701.078485278204,-1889.6090135824963,-1500.118552572767,-1558.7282215753096,-1568.7246062228833,-1751.8746330329946,-1520.5783677952265,-1662.9737242749766,-1673.7088041572051,-1692.6718897487508,-1560.2473800739558,-1836.0401009368381,-1875.6180437593232,-1612.9200579998712,-1579.7108671805088,-1469.8010545275595,-1609.4019286129526,-1739.317452014079,-1746.6078294402168,-1698.11004179864,-1599.2063284814255,-1740.9459384865631,-1678.1157013698391,-1538.1063634841905,-1583.1607322729444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
runtime,60.36318826675415,53.92828297615051,42.72788214683533,50.963698863983154,62.783196210861206,63.31564712524414,43.736358880996704,49.34392499923706,49.433419942855835,45.58101511001587,46.10622310638428,46.9648118019104,50.00094199180603,68.50565195083618,60.35891604423523,41.52469491958618,54.375638008117676,36.50558114051819,35.35992407798767,36.009746074676514,33.309911012649536,32.559123039245605,39.462464809417725,29.2242488861084,43.05323386192322,36.04431176185608,46.33519697189331,35.58820605278015,37.33992910385132,39.16578793525696,40.919756174087524,38.520915031433105,40.360655069351196,49.13196110725403,36.03536295890808,38.58118391036987,39.675660133361816,39.935524225234985,30.94978904724121,46.53518486022949,36.479029178619385,33.55881905555725,44.075149059295654,37.61395478248596,41.281145095825195,42.33253717422485,35.80839395523071,43.08555889129639,39.714442014694214,34.89405393600464,47.09793710708618,34.37444615364075,53.103392124176025,40.846627712249756,50.76906108856201,43.51576113700867,33.96369290351868,35.034690141677856,35.22430396080017,51.45109295845032,44.502074003219604,42.17774510383606,45.21631479263306,38.20852589607239,32.24667310714722,41.58534288406372,30.97822594642639,42.41550827026367,37.40910887718201,31.748597860336304,40.67480993270874,41.55241894721985,32.866451263427734,40.099446058273315,32.82959198951721,46.496381759643555,44.191352128982544,41.75663113594055,30.720786809921265,35.91505217552185,35.40467095375061,41.11583709716797,35.27145218849182,41.55753183364868,32.65600299835205,34.92078971862793,33.32064485549927,34.1631920337677,33.27010202407837,31.40258002281189,36.23741102218628,31.127392053604126,39.51987934112549,38.041062116622925,38.27649688720703,31.240153074264526,34.197988986968994,35.17940664291382,34.983113050460815,41.086824893951416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gamma,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beta_length_g,-0.2906372416432499,-0.2993726691159868,-0.3197824357783583,-0.2805388577394836,-0.30396929750556145,-0.2938070908747543,-0.290680748728324,-0.3050614046050221,-0.3267084620524547,-0.3092801438643515,-0.29222177201247096,-0.30924419632814626,-0.273153123261302,-0.29692201226192605,-0.30381396239841324,-0.32515212106273517,-0.28572728064661923,-0.2876727740452631,-0.2954186410551241,-0.3144295827808467,-0.3099062357042876,-0.28954715112753515,-0.3174906782167559,-0.3100157675578701,-0.31146017589144254,-0.28187359893675923,-0.2852066557832502,-0.25966433282314233,-0.29059482294254074,-0.2731527037697109,-0.2816594518914199,-0.31373303750169623,-0.28781417754990124,-0.2826829290003415,-0.27865554906155043,-0.3013618577611261,-0.2844417365317765,-0.3115934187080471,-0.30368450185393825,-0.29073250825331093,-0.3163401273002726,-0.29196076236884616,-0.2820530402844839,-0.2828064971096462,-0.2932850988964374,-0.2722570805173156,-0.31046716576477335,-0.2843577897458922,-0.2817674763252366,-0.30566881750278846,-0.2881010336138949,-0.2798179227614963,-0.29341409789759365,-0.2994364267062634,-0.2756340373665934,-0.311809461244305,-0.2887828142171749,-0.30001908328293403,-0.266056731428675,-0.27872964734476874,-0.27326982368578373,-0.30187262542369786,-0.31316759397922356,-0.2919911576150181,-0.30081678189617483,-0.2598149031527914,-0.29610030307657376,-0.2572742238530104,-0.27953038080959275,-0.2908512602943817,-0.2636229021449102,-0.2819768526292388,-0.29870948736357805,-0.30743679103961863,-0.3069414050814287,-0.2677948743184097,-0.2702199928890572,-0.28744866969425553,-0.33041147978763874,-0.34110286946792523,-0.2785306019175057,-0.3257396433750585,-0.2987403536602305,-0.30082600436570905,-0.26344146546414665,-0.3060477411347431,-0.2807141736477793,-0.2765784004437044,-0.28916409304166935,-0.3014822513140604,-0.30727595888735115,-0.28283156694617906,-0.275184835897822,-0.28185229269533346,-0.2818929244453357,-0.30982650160575,-0.29175735994876734,-0.2667149583804362,-0.29319009786536343,-0.2867947466027344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
se_length_g,0.03750753321451081,0.36667248571481675,0.4050237745888313,0.1748755241772941,0.07434030428437476,0.14517871162341486,0.10207956237919462,0.23253450223713862,0.6629424975014331,0.6997441195706421,0.3150199544112437,0.07645458972696854,0.1813326758808163,0.07485156839577656,0.9193402306189967,0.13760656427981688,0.16361414069320443,0.5948292819034703,0.4345678035862587,0.060245058060050066,0.14580004839660143,0.2905668177560147,1.011492682146567,0.13235142268863356,0.16304059807494087,0.08134613600975829,0.11129192045372549,0.5758700388771397,0.32478335106060946,0.08795294295473272,0.8138463185616662,0.7373504456757676,0.24343731505155072,0.3217424023505501,0.10092600029021388,0.6354873550224204,0.9425745581620709,0.15009533447811782,0.16597903280145349,0.43907170489369135,0.26881769506490694,0.3792999349310293,0.2106742420626321,0.5363813593746064,0.29282850338832406,0.24524630614880408,0.34203957046344013,0.09529906334365049,0.18040140341256536,0.36555042310224806,0.7578040964140716,0.3783497208511215,0.3462376805315328,0.2641507084172385,0.060586918410898104,0.12275008197284695,0.19253499403829835,0.14888562088900342,0.21461798625708534,0.30605094225942825,0.14746964382895614,0.783774322304594,0.4923840050463821,0.5025898439947979,0.7448728429382165,0.4750425351891059,0.4212297078611477,0.9450194989057085,0.37051263516372135,0.2656280760233861,0.4687819763390177,0.5003916148461018,0.2550831958276702,0.10911115719801717,0.14081821066775782,0.03992818821121869,0.15959818580290264,0.0390131668701654,0.08065898228723797,0.11131667919073485,0.23334743478945136,0.13388692028860472,0.1419929057936646,0.06349117966588529,0.12680544904589106,0.45869440764541725,0.32475607329728473,0.06433859029722741,0.34267077468352947,0.3927695350238212,0.24111166917544155,0.12416610004541602,0.09181805254816487,0.8222639998655963,0.7025739489420794,0.10210703551576703,0.7825648965804994,0.3407124771801495,0.1497752703997962,0.30905070581686794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t_length_g,-7.748769826612031,-0.8164579584758561,-0.7895399130655784,-1.6042202535734207,-4.0888896061386095,-2.0237615252907935,-2.8475900753623256,-1.3118973815503756,-0.49281568655469765,-0.4419903436332177,-0.9276294022663377,-4.044808786921836,-1.5063645971939226,-3.966810831430483,-0.330469560974019,-2.362911411708185,-1.7463483256156396,-0.483622415367149,-0.6797987301801698,-5.219176359120358,-2.1255564666294817,-0.9964907671276638,-0.3138833170230993,-2.3423682289173797,-1.910322824921688,-3.4651135599476492,-2.5626896779253387,-0.450907870340761,-0.8947343575142538,-3.105668720036987,-0.34608432263870736,-0.42548701142258877,-1.1822927700667138,-0.878600168753474,-2.760988726990797,-0.4742216432465346,-0.30177107377734697,-2.0759700479129406,-1.8296558109072127,-0.6621526848870927,-1.1767831251729586,-0.7697358619951659,-1.3388112259145157,-0.5272489287088282,-1.0015592590981754,-1.110137334146524,-0.9076937073219676,-2.983846637825724,-1.5618918201032734,-0.8361878367113527,-0.3801787757247404,-0.739574809602154,-0.8474354883822982,-1.1335817666378902,-4.549398526877604,-2.540197580587189,-1.4998978012263644,-2.015097774328409,-1.2396758355097623,-0.9107295840589171,-1.8530581385463842,-0.3851524818216521,-0.6360230851725647,-0.5809730560692357,-0.4038498446386856,-0.5469297671404598,-0.702942592962078,-0.27224223854737684,-0.7544422356502754,-1.094956770566583,-0.5623571627128027,-0.5635123456574352,-1.1710276970396005,-2.8176476075831185,-2.179699654085343,-6.7069127429921025,-1.6931269708965742,-7.367991187459242,-4.096400306800264,-3.0642566050992657,-1.1936304428151223,-2.4329459716669772,-2.103910417146767,-4.738075524014041,-2.0775248023356383,-0.6672148952191411,-0.8643846773908087,-4.298794847166914,-0.8438539683132426,-0.7675805387904531,-1.2744134696515501,-2.277848517773597,-2.9970667887283784,-0.3427759122877857,-0.4012288313134923,-3.0343305928013904,-0.3728219362044377,-0.7828153538369315,-1.9575334237938544,-0.927986059260704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0_length_g,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beta_crosswalk_g,-0.8171443181530942,-0.8163182197241884,-0.7960279635730273,-0.8148056067190668,-0.8611843448196096,-0.8602400250683184,-0.7262549559555777,-0.9674193680090488,-0.8380704519304527,-0.8338784935760104,-0.8379802731851094,-0.8803801321337935,-0.7640283396689587,-0.8925807999227264,-0.8083642832958094,-0.9235657622465202,-0.8954797148163858,-0.7189439524909516,-0.7975482887867035,-0.7778460921829176,-0.8335982761863541,-0.8280008231188705,-0.9283528393380819,-0.8611137310317535,-0.8710002658292662,-0.8386661174317387,-0.8015712823857382,-0.7286292664279269,-0.8964229342271436,-0.7216488018617131,-0.8281354812907077,-0.7327319230820647,-0.854889242132889,-0.8134264962562577,-0.7619005035066082,-0.9210398272393031,-0.8800090870275311,-1.0196046716290936,-0.7515121772563204,-0.7214426717145936,-0.8942984771503003,-0.7738298894241893,-0.7568483968846925,-0.7568334661976653,-0.8476665225804343,-0.8168806183086322,-0.9644118105899356,-0.8896794712714893,-0.7736528931869081,-0.8606381374938774,-0.803897764278987,-0.8270007452413839,-0.8313108452525053,-0.8090905036072179,-0.7224302328458305,-0.832217176884553,-0.8493816799122889,-0.8141719655885862,-0.7841139200156056,-0.7548114304900944,-0.692928638693337,-0.8549872400975347,-0.8606668120942176,-0.8323700081552112,-0.8212281789280763,-0.712448896671149,-0.8973929338669931,-0.7771676830614002,-0.8014254927182323,-0.917551985347403,-0.6599752243366971,-0.7404888637834072,-0.7597484742744767,-0.8211576846661945,-0.8310684699173575,-0.7908317493436459,-0.880291194851853,-0.8807538152671414,-0.8658993491491972,-0.7743704973732956,-0.8237888789555987,-0.8653803008502182,-0.8249919909776064,-0.8216915785945728,-0.71927665711028,-0.9268681824986313,-0.783552967035642,-0.8069663693728392,-0.9146693392800989,-0.9227618757409602,-0.9265001731351555,-0.8241078843505799,-0.7424033125361417,-0.8692558113074943,-0.7932108569834002,-0.8793133428126602,-0.770875308888138,-0.7058565640639118,-0.7858065949577364,-0.7685038746830366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
