,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299
L0,-1759.5957611691385,-1863.619396222844,-1660.2838896571504,-1916.7616395450839,-1606.3404367452938,-1660.7196803613056,-1766.6773434084973,-1675.4556574266749,-1667.5938469713938,-1624.532939538762,-1765.6746454015572,-1691.413588828874,-1858.4490271029324,-1699.2060970314683,-1654.4021730696095,-1585.1974614079186,-1835.861418995694,-1677.4491548812643,-1838.780031184089,-1662.4223638076737,-1555.6801863496548,-1767.4646286971474,-1833.0340967418265,-1822.7377269163915,-1666.5392468602283,-1907.0027417362303,-1754.3101882670696,-1868.7559860849278,-1755.3446076190214,-1784.0520506477937,-1760.8097888519283,-1565.1608664734879,-1683.7554111831719,-1875.7871119444444,-1808.2779759579353,-1584.107465274737,-1736.7042897981664,-1682.8116053625454,-1741.1923680156572,-1833.6731583116073,-1687.204482863008,-1759.1169688022721,-1928.5636630663544,-1874.44016915776,-1863.4359698694027,-1924.8873436042952,-1526.173623747634,-1661.6224084442722,-1796.1903535081326,-1644.176328499925,-1718.615073224221,-1612.5282995371037,-1804.1073920837714,-1779.699875899749,-1840.0180132566777,-1579.6454829558197,-1892.9596200890742,-1688.901836922306,-1947.705745649027,-1899.8525723527184,-1897.7336437028898,-1584.8881906773106,-1571.7452554252898,-1911.1208488363952,-1818.410280050187,-1867.757469353519,-1774.4814512901696,-2063.6625447813244,-1838.160727304113,-1572.7599213785734,-1994.4474596542887,-1856.421773831557,-1908.8446393972192,-1684.6264793863481,-1637.724119080639,-1801.4874631921637,-1966.8804481150682,-1569.2423991653764,-1642.024892028074,-1642.6573409561295,-1818.9265839984967,-1579.9745037957491,-1726.6146251302732,-1771.1892285672454,-1762.6434307969682,-1618.8986893881893,-1927.6342756676688,-1966.498231612324,-1676.3634833486483,-1640.3618677521013,-1522.5208953786216,-1661.728262610089,-1829.865281371313,-1816.5434236469648,-1774.3539817280912,-1660.8621684988143,-1833.561141130766,-1762.0029209091915,-1580.1194639500434,-1674.347058029387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL,-1689.6058106745952,-1778.0837793608166,-1609.2092139549516,-1814.8664629635382,-1553.9675952707826,-1581.3836905049138,-1687.7794039514558,-1606.7737394109738,-1599.5289223465136,-1562.0199833106585,-1682.8486612249692,-1596.4830192372274,-1776.3892159302009,-1630.1197214712054,-1597.1848015826426,-1517.194968076072,-1751.0340153479299,-1604.717730678258,-1772.690131443418,-1581.0793528907886,-1506.608271746814,-1697.4823639564681,-1745.9731555509077,-1753.2895047946197,-1587.0499448021253,-1821.1464593745106,-1695.654042442803,-1784.5462703862268,-1698.3201321540541,-1708.7392204462803,-1698.6269550462525,-1490.5307901290164,-1609.2839738749028,-1801.986304554801,-1741.4425730039948,-1513.2763897042212,-1657.1727993741106,-1626.6851635708308,-1677.3607752947205,-1752.6781547697099,-1611.4084919786824,-1695.2490835568383,-1874.0864485214975,-1773.939431959118,-1771.331390071731,-1800.855192437748,-1486.5852016013603,-1602.784764419115,-1715.4655315674097,-1572.3321251369778,-1650.6732626154023,-1545.474813813251,-1733.9325509616724,-1702.8087745650998,-1778.7660238243614,-1528.8014183814312,-1831.4190067941968,-1636.470340599478,-1877.9064794341919,-1821.8417895194825,-1824.547761529649,-1551.6861941325176,-1517.1051909862842,-1813.1280080195158,-1744.5156264648035,-1792.919527996192,-1697.7555434735361,-1979.8127827686924,-1750.3133728666069,-1525.5457807331643,-1876.6149848512093,-1771.9839600622488,-1818.9172665476287,-1625.4444513206433,-1564.1156260090233,-1701.5248198555291,-1891.83923006735,-1500.121683981344,-1559.791591073775,-1570.8131847249622,-1752.1998789350434,-1520.6863402335687,-1663.8272715632609,-1673.7571853083377,-1693.8747408733243,-1560.9302901708181,-1837.3915932250995,-1876.5006300845444,-1613.2246414168699,-1579.7891657713105,-1471.7910260745628,-1610.9235265754955,-1739.4565978295484,-1747.5415301174403,-1698.1266670047255,-1602.4142015510013,-1741.899671659231,-1678.2267090906762,-1538.3283179962586,-1583.6420401834196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
runtime,49.94419574737549,33.802210092544556,35.183586835861206,34.96564722061157,32.115158557891846,36.962522983551025,36.2300751209259,38.237074851989746,30.277507781982422,38.51344895362854,33.32898783683777,31.528032064437866,33.159913063049316,41.20412516593933,41.41718411445618,41.49335193634033,34.29561710357666,40.887670040130615,41.37933373451233,38.26380705833435,43.271218061447144,47.17843794822693,38.85643696784973,39.573967933654785,52.335139989852905,41.62899208068848,50.267152070999146,38.60822081565857,46.43188190460205,44.02260899543762,49.44613599777222,40.44013595581055,37.62761187553406,41.81381607055664,29.873829126358032,32.37378001213074,27.27147102355957,24.294423818588257,32.77668619155884,35.60487675666809,23.307949781417847,39.87451696395874,33.68856501579285,29.995320796966553,34.31631588935852,39.500828981399536,36.96206021308899,31.76048994064331,33.380244970321655,28.095525979995728,34.005616188049316,31.872873067855835,40.35130500793457,28.205071210861206,36.90321397781372,31.89332413673401,38.47594094276428,33.31130599975586,30.57383394241333,34.34756827354431,35.01859521865845,32.64045691490173,33.21965193748474,29.52880096435547,34.72648096084595,35.63396668434143,26.861111879348755,29.44929599761963,40.794689655303955,28.136977195739746,32.60813307762146,30.20830798149109,29.54541015625,28.703574180603027,35.39427709579468,44.100785970687866,40.5160858631134,32.49332785606384,32.53218078613281,42.78613996505737,31.615623950958252,36.09795880317688,25.404059886932373,33.93521809577942,31.452184200286865,28.088692903518677,27.869347095489502,32.9637770652771,31.234731912612915,32.78311491012573,32.974693059921265,34.43819808959961,36.180375814437866,27.108071088790894,31.941553831100464,34.49253034591675,30.03633189201355,29.423956871032715,31.27608895301819,36.291581869125366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gamma,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beta_length_g,-0.289563285141282,-0.2915298103147395,-0.3148264965087593,-0.2788724577128735,-0.3083891899640133,-0.29684223986034647,-0.2888015161235448,-0.2954099925682285,-0.31922393828849704,-0.3010728931038574,-0.29342865785269007,-0.30787133761121754,-0.2757811503163937,-0.2974101489659879,-0.3059461263111301,-0.3245047820741939,-0.2810656648487606,-0.2871249224126554,-0.28677220250711616,-0.3139800247191121,-0.304444344391049,-0.28485077820066196,-0.3123012284166483,-0.3115600468493402,-0.30859340922800854,-0.2786726313925332,-0.27804728680181645,-0.2643404041537495,-0.28653715084184916,-0.2755195061354467,-0.28006145671229377,-0.31423668317032954,-0.28115184489858364,-0.2890728430136454,-0.27778049847480263,-0.30429599334228,-0.28905279198010314,-0.307765281658872,-0.3027657632511002,-0.2876333695203748,-0.3092458042869064,-0.2839228416926533,-0.28275120378520874,-0.2809523700647333,-0.2929371723424638,-0.2726695223426267,-0.30546716611487007,-0.2819804952703536,-0.2747865906196503,-0.30393186873587835,-0.28532617600402116,-0.29075706982160504,-0.2900380650177785,-0.2928258528562889,-0.27356498541735763,-0.3071993620494171,-0.29149192284962117,-0.29750772488926613,-0.27009715427917225,-0.28499500623850277,-0.2759402361691786,-0.2990488620106475,-0.308623128064967,-0.29825013780985493,-0.29453099445257225,-0.2637733779446867,-0.2966999280642037,-0.25990814395299594,-0.28032194275153816,-0.29581684312305545,-0.25950676558069574,-0.2817168079119277,-0.2922753568105081,-0.3103399561397583,-0.31140958481834924,-0.27055674178853045,-0.2755978255738398,-0.2877452916329033,-0.32479050913059243,-0.3341862363482277,-0.2761504647636761,-0.32419022248389245,-0.3024939685855263,-0.299832561757249,-0.2672428673778488,-0.3016368497479469,-0.2757642290422878,-0.27247715618949675,-0.2866589025547208,-0.3026694123612975,-0.29954023976196975,-0.2765833946227785,-0.2764737237108388,-0.2857909888369912,-0.2813009841227456,-0.3001710293675545,-0.28750799237685915,-0.26532309342231597,-0.29127793080360465,-0.2837946415726728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
se_length_g,0.08948340545014076,0.04956359907167282,0.30946309201709765,0.11710382797419003,0.43900522098728234,0.7937249301229429,0.8689534937146589,0.40971006049607933,0.1883780904586118,0.23396516133139217,0.15176345156129786,0.14223410834701808,0.44871198261036743,0.16781491818764468,0.4901347551080566,0.07345433535738531,0.22367823493977576,0.16256178408958222,0.7803268144720471,0.30670533862744914,0.19135019683266258,0.6229081538267598,0.1904534284779112,0.14368190086853108,0.16701662184178803,0.07325036366393702,0.7888820725758734,0.12063088008762127,0.5555288689772913,0.05584725821538058,0.8877714597125074,0.3401064878375234,0.13613566103911773,0.2033074544068586,0.13062379641671557,0.323408775269629,0.042465280117769476,0.22071303951320778,0.14177265519616056,0.3857713540951565,0.2466781413182361,0.09025598592331693,0.21518064351924357,0.3766746357224556,0.33767757320424174,0.1120740995618718,0.39097065185247587,0.4258932411460061,0.2004784769439226,1.233390644270663,0.2602038735294553,0.37509633947444215,0.27903911037466667,0.14403041464989846,0.07595179713211543,0.1615368932935882,0.6117403354981007,0.12871310204041936,0.12427520256983923,0.275410591584535,0.09381763167621975,0.19485217981714573,0.1731607182274637,0.44197431732664083,0.7314593907558765,0.18889116154206173,0.052901329853146904,0.09525705101516467,0.09307040710139837,0.36608577207223714,0.07281280153688635,0.36920428225892044,0.03570341898102245,0.45648784504994644,0.2724947237389651,0.022700721447362075,0.9745065885910631,0.3330941967823754,0.020174853769484885,0.3053142754059355,0.1735178267892523,0.20455311896671513,0.8918560079378978,0.1138910922534726,0.21703225735580542,0.1259772658270889,0.15443975067823776,0.25019330925394667,0.1718102939372043,0.6189176848736793,0.21251706231610104,0.042698168957961774,0.22366215997103636,0.14071367934519602,0.16241555046492862,0.49720804740358965,0.11802343755341087,0.13961862297735964,0.07971115826641575,0.09323276048515586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t_length_g,-3.235943957258351,-5.881933834005168,-1.0173313219896523,-2.3814119703613588,-0.7024727160886024,-0.37398628743381856,-0.3323555497647605,-0.7210220618223149,-1.6945916455110959,-1.2868278823675492,-1.9334606246364465,-2.1645394426777242,-0.6146061638738636,-1.772250954670397,-0.6242081858563168,-4.417775758167925,-1.2565624229126993,-1.766251053534395,-0.36750268885882165,-1.0237188114306006,-1.5910323032345153,-0.45729177961584894,-1.6397774033921844,-2.168401482483292,-1.8476808225730597,-3.80438563651433,-0.3524573525849446,-2.191316219874576,-0.5157916480008569,-4.933447315763971,-0.3154657132174398,-0.9239361623717322,-2.065232891606531,-1.4218506835226672,-2.12656886489984,-0.9409020923708254,-6.8068029029472905,-1.3944136800329592,-2.135572355841013,-0.745605827044964,-1.2536408886264172,-3.1457508196063486,-1.3140178371105316,-0.7458754676323543,-0.8675055602975533,-2.4329396658868214,-0.7813045932412629,-0.662091970540768,-1.3706538218390045,-0.2464197942052669,-1.0965485337854588,-0.7751530452922916,-1.039417250966517,-2.033083453714096,-3.601823732248246,-1.9017287988267297,-0.47649616337997086,-2.3114020264684534,-2.173379312155095,-1.034800457741386,-2.941240694728836,-1.53474732636444,-1.782292954338293,-0.6748132778706989,-0.4026621274876373,-1.3964304935779137,-5.608553298902638,-2.7284924442141216,-3.0119342063920804,-0.8080533735265844,-3.5640266560713476,-0.763037758360456,-8.186200793987323,-0.6798427592432447,-1.142809594789301,-11.918420408615267,-0.2828075549209963,-0.8638556132543478,-16.098778848243676,-1.094564726473746,-1.5914818083739446,-1.5848705906882048,-0.3391735503188871,-2.6326252196260493,-1.2313509090021004,-2.3943752689629014,-1.7855780511898094,-1.0890665182134505,-1.6684617433894446,-0.4890301566080991,-1.4094879559196483,-6.477640642976681,-1.2361220322053645,-2.0310107032017437,-1.7319830725413738,-0.6037131356482293,-2.4360245586538603,-1.9003417149110573,-3.654167586300488,-3.0439369176230433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0_length_g,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beta_crosswalk_g,-0.8160292506902475,-0.8086176716427541,-0.788628244276592,-0.8123049890894409,-0.8653927906715152,-0.8633722256885479,-0.7246209679104194,-0.9541374207981793,-0.8284900646725637,-0.8288702775965386,-0.8397308327869638,-0.879831943691175,-0.768145694398291,-0.892866473047412,-0.8107132223411738,-0.9223761067844339,-0.890847901401398,-0.7183217136040158,-0.793463102592214,-0.7771043430636485,-0.8295406734992312,-0.8216257505753236,-0.9264592492468476,-0.8620481167300119,-0.8653597699336014,-0.8341490671124684,-0.7960500258589495,-0.7289404671786184,-0.8907817530094829,-0.72506439746378,-0.8253536411944205,-0.7332824121032412,-0.8473182862244737,-0.8172436274545842,-0.7618329414514046,-0.9233916477737003,-0.8824646994520156,-1.0127162800040415,-0.7509315352813222,-0.7171179969741913,-0.8850307972595968,-0.7649708839841962,-0.7576170180333871,-0.7542615348291324,-0.8471411405508154,-0.8170841404231451,-0.9614594558653019,-0.8837634076431944,-0.7657744960441099,-0.8586179577610946,-0.8013467518153903,-0.8314949024861232,-0.8272794314644236,-0.80351746115796,-0.7204591646131561,-0.822569205435686,-0.8525812275404777,-0.8106181893093674,-0.7865306392594934,-0.7604805409111554,-0.6967858725413741,-0.8557129645617984,-0.8544819764329665,-0.8335865650614865,-0.8155678432059578,-0.7197086694684369,-0.898107520074461,-0.7787548410345742,-0.8024902245059168,-0.9228381638178016,-0.6580063223865206,-0.7403492192321576,-0.7516683853198556,-0.8264764317890607,-0.8353743591005716,-0.7936895773287265,-0.8810014517829456,-0.8810830896910358,-0.8565645307945499,-0.7628066174730976,-0.8215135263265301,-0.8635966206034674,-0.8317711749340855,-0.8217020317784735,-0.7212492946275579,-0.9190863767033817,-0.7792437202442082,-0.8038178181378383,-0.9113240721004312,-0.923252658223927,-0.9180346588302527,-0.8174314241055483,-0.7434029448772804,-0.8730537853366406,-0.7923025202653924,-0.8671957142163587,-0.7684212666720718,-0.704311820006344,-0.784916820660986,-0.768520978581824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
