,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
L0,-1738.4696630644646,-1746.307171628524,-1768.230278399902,-1802.824380497985,-1847.5216307228427,-1897.6877824892651,-1951.240807292382,-2006.8451857505129,-2062.5864958437437,-2116.763380606229,-2168.34161757984,-2216.8484792993813,-2262.168722252445,-2304.3882174551395,-2343.6928441261753,-2380.3085905002117,-2414.4687497651344,-2446.3972756659514,-2476.3011678527773,-2504.3677480987376,-2530.764536429822
LL,-1689.605810530391,-1681.5695103921519,-1675.7605214864147,-1672.234704152599,-1671.128123023248,-1672.748464753023,-1677.7800326394229,-1686.9445310333708,-1700.7559227454908,-1718.7808509007416,-1739.4685401146426,-1762.8230860009337,-1788.0442007408947,-1814.548830047145,-1841.5197124641363,-1868.0308991118657,-1894.4201269547455,-1920.8300196141745,-1946.8585931444125,-1972.1872038652891,-1996.7855411643802
Lv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
runtime,35.20157790184021,53.69271993637085,53.29818916320801,42.631712913513184,45.166098833084106,52.014540910720825,52.50389003753662,51.947750091552734,53.468443870544434,53.955475091934204,56.18500018119812,62.23783016204834,60.161505937576294,56.81897807121277,61.548052072525024,64.64108681678772,62.19099402427673,56.426393270492554,59.37515425682068,53.574039936065674,75.89362001419067
gamma,1.0,0.995,0.99,0.985,0.98,0.975,0.97,0.965,0.96,0.955,0.95,0.945,0.94,0.935,0.9299999999999999,0.925,0.92,0.915,0.91,0.905,0.9
beta_length_g,-0.2895611857928535,-0.29920070969359325,-0.30868333315225416,-0.3178653440351174,-0.3266369237261861,-0.334534572744391,-0.34123709956469334,-0.34679646106479034,-0.35134000003372656,-0.35375640886263804,-0.35336552321693226,-0.35168474298074165,-0.3495287259451894,-0.34707619829391817,-0.3448693180693274,-0.342489703396732,-0.34004779233449284,-0.3382391310958464,-0.3371210672123717,-0.3360000043987203,-0.3341381863037442
se_length_g,0.5395367071213243,0.12776941354366975,0.10509883602778845,0.12684601570242007,0.07812449911381858,0.9748912699269272,0.25970730872785114,0.3159421853506428,0.43498476403138414,0.2591149447787312,0.9340265486937173,0.3791451307278836,0.22146762857660954,0.718206471988625,0.1335616669125463,0.15071159835561052,0.44388519848689156,0.4407000219317261,0.3001104515630927,0.35724124563727633,0.2765366625156809
t_length_g,-0.5366848667958019,-2.3417240589535204,-2.937076611111443,-2.5059150835358315,-4.1809794293888904,-0.3431506497842226,-1.3139295202595849,-1.0976579803039106,-0.8077064510893476,-1.3652489599344608,-0.378324924180294,-0.9275728856271386,-1.5782384459148227,-0.4832540666654076,-2.582098037868466,-2.272484049891189,-0.7660714831078893,-0.7675042302317991,-1.1233233146546986,-0.9405409047864444,-1.2082961559746064
b0_length_g,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3
beta_crosswalk_g,-0.8160088485866449,-0.8307908432629791,-0.8458792382277025,-0.8608024874466026,-0.8745074367583494,-0.883261462743802,-0.8873416904371431,-0.8873290004571674,-0.8823581345049856,-0.8799736664217424,-0.8926252572365501,-0.9090054962106895,-0.926746928005434,-0.9464868363157489,-0.9634275510310505,-0.9799967809016826,-0.9958669595201983,-1.005373256536449,-1.0077891599606006,-1.010185470923252,-1.0203419430715945
