,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
L0,-1738.4696630644646,-1746.307171628524,-1768.230278399902,-1802.824380497985,-1847.5216307228427,-1897.6877824892651,-1951.240807292382,-2006.8451857505129,-2062.5864958437437,-2116.763380606229,-2168.34161757984,-2216.8484792993813,-2262.168722252445,-2304.3882174551395,-2343.6928441261753,-2380.3085905002117,-2414.4687497651344,-2446.3972756659514,-2476.3011678527773,-2504.3677480987376,-2530.764536429822
LL,-1697.3358405043919,-1690.1638220751938,-1686.4174944267352,-1686.95048038457,-1692.303224203621,-1702.7132928103774,-1718.376995238437,-1739.701448322357,-1766.7271825162804,-1798.3349938170636,-1832.6538811345529,-1868.2351983968806,-1904.2848079872408,-1940.3481369578985,-1976.0894643434565,-2011.1657855641129,-2045.256646179613,-2078.1369157666722,-2109.7015541765854,-2139.9445127750328,-2168.918436097436
Lv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
runtime,26.307716131210327,43.38830304145813,39.110259771347046,35.86052083969116,34.041667222976685,34.387542963027954,41.35490918159485,36.96357297897339,39.405637979507446,39.802743911743164,39.88365602493286,38.850205183029175,40.482872009277344,40.46689319610596,42.081088066101074,43.83932065963745,36.73936319351196,37.99824094772339,38.16990375518799,38.45144581794739,40.837096214294434
gamma,1.0,0.995,0.99,0.985,0.98,0.975,0.97,0.965,0.96,0.955,0.95,0.945,0.94,0.935,0.9299999999999999,0.925,0.92,0.915,0.91,0.905,0.9
beta_length_g,-0.31582501958134407,-0.32859387765866055,-0.3429679017612037,-0.3601784235435371,-0.3776465710437164,-0.3946270862119292,-0.4109072520740611,-0.4258484059382611,-0.4375603851446756,-0.44525846399661806,-0.44970681733752776,-0.45233560296535186,-0.45413081038124825,-0.4556492404145604,-0.4568806719750756,-0.45766885206680047,-0.45802475328250314,-0.458084699825384,-0.4579874099270622,-0.4578408931774423,-0.4576448730070555
se_length_g,0.1805831408396128,0.03172447579784704,0.08664256731662245,0.3276949091727777,0.17162987429528515,0.1854887443358382,0.054330219828483774,0.3268817394336481,0.5551988281253055,0.35071615747101303,0.3209468785858615,0.5846149230330624,0.7883395872906426,0.07833229772030773,0.06135668874567075,0.039555837109668965,0.26921918739784223,0.4491107663790853,0.33024802861028485,0.5320057689995809,0.6013420189401683
t_length_g,-1.748917524154971,-10.357740179932629,-3.9584226597058025,-1.0991273085467201,-2.200354527988434,-2.1274988281630383,-7.563143557512982,-1.3027598503241007,-0.7881147491289742,-1.2695692927504174,-1.4011876959794756,-0.77373256334028,-0.5760598829522191,-5.81687571634239,-7.446305876591369,-11.570197611996148,-1.7013079851758521,-1.0199815593793269,-1.3867983159636617,-0.8605938503982709,-0.7610392398881904
b0_length_g,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3
beta_crosswalk_g,-0.8860504652401029,-0.9052141583061105,-0.9253559348557053,-0.9451582001589945,-0.9674794934283564,-0.992372269172942,-1.0208052011672826,-1.053843869110321,-1.0897900289807985,-1.124421178773526,-1.157597797865269,-1.1893089161748096,-1.2176067084322464,-1.2417073120392952,-1.2613949836805392,-1.276731130839918,-1.2884080241089069,-1.297499644965907,-1.3049714206274843,-1.3113946150157387,-1.3170301914614433
se_crosswalk_g,1.6910172099751781,3.6454561210461467,1.7730585749644252,3.146549296938494,1.4584749648660174,1.1443391761706025,3.4464916343463825,1.099693587965859,0.9005113301113735,2.4649443378840785,0.7746548804053212,0.7845622580307827,0.3837215419475373,0.2997422368670004,0.10422566569669747,0.4440725504731993,1.6571334028713283,2.1917454258546676,1.1608223698514541,2.884618158216078,2.913573488614851
t_crosswalk_g,-0.5239748359823665,-0.2483130034346261,-0.5218981188335934,-0.3003792761418381,-0.6633500860381473,-0.8672011671345553,-0.29618676308230046,-0.9583068235031289,-1.2101902469633727,-0.45616493707064204,-1.494340030827123,-1.5158885149024675,-3.1731518179886766,-4.1425837246629245,-12.102537079026861,-2.875050776003709,-0.7774920364748378,-0.591993773391793,-1.1241783881150362,-0.45461636275171297,-0.45203259729260364
b0_crosswalk_g,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2
beta_sidewalklen_g,0.06946983063851908,0.07189914457950691,0.07479022772515775,0.0786770955944053,0.08285784998582871,0.0874291014787206,0.09218920436885912,0.09697945801978664,0.10179563032397346,0.10611536746956834,0.10918170140032436,0.11106003991367944,0.1123322834977776,0.11342907306956107,0.11445553682750542,0.11536423742322949,0.11610030972895861,0.11663897305977326,0.1169907186683813,0.11718368759917008,0.11723947193136744
se_sidewalklen_g,0.5317527226892192,0.9484845341132742,0.04795011587376955,0.10837834444631538,0.10721409818304778,0.04085205692997964,0.15172761325265777,0.3525109602563259,0.42753770330405594,0.3262775385320467,0.023617799958478115,0.15125956133986784,0.2287822487967924,0.05144470368828566,0.03508867604519971,0.08265487502703388,0.06192029279949304,0.03576083723437995,0.0412396496989827,0.07767991793972369,0.07429439749740248
t_sidewalklen_g,0.1306431122480974,0.07580423506507092,1.5597507193109978,0.7259484908756618,0.772826068493013,2.140139519255394,0.6075967478335343,0.27511047585376835,0.23809743453568238,0.3252303788578011,4.622856557015221,0.7342348406269448,0.49100087130253145,2.2048736786754923,3.261893856584066,1.3957342187680688,1.8749961358372187,3.2616398854229915,2.8368504466532176,1.508545460747006,1.5780392045775247
b0_sidewalklen_g,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
beta_greenlen_l,0.13938379522673644,0.1682002730111512,0.19875187764500946,0.2313713325946356,0.2672714337036433,0.30567532450311496,0.34611827008600976,0.38820267961491645,0.43040632642620336,0.47127029536401577,0.510851952135188,0.5499636979656478,0.5881501152964117,0.6242933691824208,0.657161319058399,0.6859715741452206,0.7107264434608361,0.7320049634372738,0.7505407460282406,0.766950151448634,0.7815100462631487
se_greenlen_l,2.658337981102945,1.0496462493672054,1.08133762187987,0.6570075975646961,0.9431253511461388,0.5767579547102925,0.3221689755198648,1.6260903731091032,1.4307490304204868,3.097000057622584,0.14284132491757415,0.3549956494779553,0.30850508539244204,0.23986092864075062,0.4647799929639228,0.8620771538951915,1.6406458722662407,1.1819441840886609,1.605908005775322,1.094866319259049,2.4773373241359518
t_greenlen_l,0.0524326839617685,0.1602447235080897,0.18380187059383526,0.35215929534491003,0.2833890886071932,0.529988918239813,1.0743376811112846,0.23873376660650694,0.30082587321391374,0.15216993432211526,3.576359659433098,1.5492125009824937,1.9064519294657325,2.6027305602466426,1.4139191208891155,0.7957194678524316,0.43319917812556497,0.6193227846894369,0.46736222954806456,0.7004966158495656,0.3154637193123163
b0_greenlen_l,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mu_g,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
