,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
L0,-1738.4696630644642,-1831.4705252402002,-1660.4510034069854,-1874.70132932493,-1600.9857260029164,-1626.0932361135608,-1755.7949521937367,-1648.263827168872,-1645.2514044290683,-1606.0503843978413,-1724.5398186504624,-1643.088394726731,-1818.9628364994173,-1673.5548536876252,-1655.9410351289448,-1563.655175404717,-1784.6049262284782,-1658.137101937901,-1816.8690840717243,-1629.5274252252746,-1551.64714762057,-1744.8176060705969,-1802.8028901225737,-1805.2287006134718,-1637.8897680377513,-1872.3683774607312,-1742.8750310476116,-1866.0559597587476,-1719.2868057150174,-1762.4324782794877,-1732.3624147216567,-1558.933384483465,-1666.556345155172,-1860.0425389266497,-1806.2193936630708,-1571.9982212068926,-1728.9005026896398,-1642.1627695213601,-1730.3016372665209,-1806.5088957607747,-1657.7158150417065,-1733.902623042528,-1937.8573617418685,-1815.1579966921997,-1825.5252364977723,-1865.9145695691748,-1516.9349986537288,-1656.2560012558038,-1763.9468480586925,-1617.3600807593803,-1702.2456305232931,-1602.9711839199065,-1798.6388697498178,-1755.5892501015373,-1844.6115950285293,-1577.6749187247983,-1874.8409952920695,-1663.342440295782,-1936.1345953277091,-1877.6185155249705,-1884.349899163781,-1593.3440463305642,-1563.321175296625,-1874.7027483614177,-1783.7654125133342,-1851.9475955214482,-1740.43201615504,-2038.4255823665424,-1810.4228699188916,-1555.8088252054695,-1965.1624937039742,-1840.6666399569742,-1870.756108064553,-1667.2774116160685,-1620.44566981066,-1784.7811811664556,-1932.1939180151894,-1552.1679825328604,-1617.2031430920788,-1622.970415115837,-1790.3164472893118,-1573.9319488396902,-1713.356136168952,-1738.335483771755,-1767.4537296875617,-1586.5975871745386,-1889.7424708405358,-1929.5233719862022,-1640.9456819805694,-1609.57343696742,-1518.5381333619061,-1649.9191743684246,-1803.3740832108617,-1782.047245953046,-1743.3085745880248,-1635.655849218931,-1806.7954461882425,-1730.036073296883,-1596.7471090849544,-1647.1230034800496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL,-1667.463448811776,-1749.8440717833084,-1586.7787607874122,-1791.3589497846308,-1530.1240432279503,-1542.9102153335637,-1681.6447431546637,-1571.0207654038047,-1579.735800359741,-1528.4982809019093,-1653.855697202436,-1563.005227051819,-1728.7827981258863,-1618.6445840522717,-1558.7050144087123,-1463.835885167619,-1732.032611977113,-1571.6229964090871,-1752.160862723932,-1551.5419786162176,-1490.927847011774,-1682.3393381344408,-1716.4217401298029,-1720.2580554762628,-1545.9984650907677,-1784.1176451734136,-1682.347122330996,-1790.1274919136076,-1671.422480674701,-1684.6927036307177,-1668.9056788283688,-1488.2412152906106,-1593.1863686712654,-1753.4676445977268,-1738.4673527856314,-1495.4901941388548,-1641.3252498120382,-1586.830891197783,-1660.2500883830944,-1743.3123418844937,-1570.4320856093875,-1681.9016653868323,-1867.1933432421088,-1731.8356797349695,-1735.4592733291047,-1790.5112373335687,-1480.8592035530992,-1593.197465620441,-1691.5246802391887,-1528.3917771011265,-1631.2964036925212,-1519.0385997421029,-1707.0040586483244,-1692.2476067073205,-1777.0249190397583,-1513.2484468202372,-1795.6571887980924,-1603.540914095507,-1864.9731263561782,-1802.2159335145273,-1798.115826136111,-1534.8281958573382,-1492.5011787863432,-1785.6651571373175,-1709.1702909527307,-1779.3824994470103,-1677.206976797733,-1950.0035825887496,-1733.1529807533816,-1501.9265003229918,-1877.0331194443377,-1763.9841666377636,-1779.6355892238457,-1583.1757101517876,-1531.012746154996,-1707.1189504300105,-1861.2084934232703,-1484.640237293917,-1541.8298736580225,-1522.553298300128,-1722.5771243487802,-1487.4020154845675,-1645.4625468056597,-1643.427738459779,-1685.1727251764676,-1529.872745451953,-1798.3130976260402,-1831.805226436694,-1594.9594456185039,-1543.9360763877862,-1461.0406582204255,-1601.564631963602,-1736.6779408853306,-1701.8981296964537,-1686.4454718252284,-1558.8127248951769,-1706.3568927031217,-1665.0552181926712,-1528.987367940341,-1579.1860248087364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
runtime,130.7876410484314,67.77301907539368,97.94547510147095,78.83436298370361,102.04043912887573,73.23767590522766,97.04945015907288,91.23650097846985,80.7550950050354,101.07165312767029,80.50323915481567,92.31984686851501,97.4830470085144,97.44251799583435,91.16278719902039,100.07606983184814,91.35147309303284,72.58663296699524,90.76166415214539,82.48492813110352,84.77583694458008,83.79039597511292,87.71408987045288,101.7843120098114,103.64810585975647,90.47783613204956,87.0300862789154,84.72915410995483,77.7889792919159,70.36077690124512,78.17121624946594,68.67362713813782,84.10123920440674,73.15967321395874,96.21482706069946,80.57169675827026,72.09662222862244,76.61972713470459,76.69346117973328,82.92169499397278,90.32860088348389,68.09161329269409,81.86109685897827,92.60491013526917,84.78878211975098,85.20812916755676,86.58538317680359,83.01820278167725,84.86718010902405,74.95749187469482,72.72441506385803,77.58917593955994,73.72140073776245,97.61107563972473,83.86941814422607,102.13785481452942,84.2986307144165,77.52223110198975,83.734365940094,71.01296186447144,109.02157592773438,83.21576595306396,70.87359690666199,88.34020400047302,86.59112882614136,80.85773992538452,97.03334903717041,77.72062420845032,88.70670700073242,88.14201378822327,74.54212307929993,80.29631805419922,95.85982894897461,97.2738709449768,98.06215000152588,85.02379202842712,79.52043390274048,97.94231104850769,71.98675513267517,97.16614484786987,85.95104312896729,83.23882293701172,84.35035133361816,78.92856907844543,56.35226607322693,60.47370791435242,97.0131483078003,90.61603093147278,73.02362203598022,73.78447198867798,96.902991771698,95.7161180973053,76.24444723129272,65.3534460067749,92.32670521736145,92.03905272483826,99.73116898536682,76.74214720726013,82.78535008430481,82.19041895866394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gamma,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beta_length_g,-0.30206450414086466,-0.3037593794845533,-0.3292382044244015,-0.2935845969224781,-0.31378462422096004,-0.2976954008501147,-0.31017385285828525,-0.3053643790063991,-0.3341137324815815,-0.3081633174527922,-0.29733580619400907,-0.3025515129269799,-0.28731166804849056,-0.3065790967663301,-0.3174244614088031,-0.31900707045957,-0.29092444779510335,-0.29917841938156053,-0.30833050727448996,-0.31014368695173544,-0.3220957431565292,-0.30868906341452373,-0.3169574225677032,-0.31287588135483785,-0.3136193272891595,-0.2929713060174431,-0.30444012076790783,-0.29475517780195903,-0.29859637789766,-0.2946423757450985,-0.2901630748156252,-0.32751752952948743,-0.3033517957084825,-0.296998260685674,-0.30546737008466035,-0.3100163666511858,-0.29878014018599197,-0.2974101105806747,-0.3133025774342935,-0.30876012450292184,-0.3153452553941955,-0.30614950734063445,-0.30650498166018214,-0.2889552018759835,-0.29779240780472277,-0.281219937822698,-0.32152975271940026,-0.31030882238144236,-0.2964261304422411,-0.30846252845455563,-0.3054923358242523,-0.29700850266549056,-0.3125261793431861,-0.312390252011603,-0.3060892249832464,-0.3270175083026911,-0.3000207683777519,-0.3072797123332858,-0.29416506215412447,-0.29603146562050026,-0.29329453831474656,-0.31457391668892254,-0.31946865424492726,-0.3035643805585627,-0.30274689632471297,-0.2904021058318364,-0.2989140776865443,-0.2823248335788119,-0.2955840265611137,-0.29512287993686176,-0.2927848177920382,-0.30126673133734116,-0.3032188746527807,-0.3108060948588225,-0.31226273157726653,-0.29435633546261925,-0.28261026295267,-0.3031524206004216,-0.32703006669999907,-0.3328692112139181,-0.29089820704192837,-0.32657440823372574,-0.30995551166160207,-0.3074730533049674,-0.301214679429638,-0.3068784828386279,-0.29102939602012107,-0.2888242459247447,-0.2954146722108666,-0.29838550184523344,-0.32274953369421794,-0.30558355842020724,-0.2945574381087641,-0.288071228121334,-0.2965002955663936,-0.30796905871329977,-0.30490782135953415,-0.2901450931902784,-0.3133641975203536,-0.3022310494298813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
se_length_g,0.8259057677986463,0.5246675550194082,0.33636546999186495,0.33330277758475957,0.3041029094363199,0.07137057386016676,0.30711131957850074,0.10546942351868456,0.2642841958947132,0.6554583677811557,0.12223974464036763,0.46183417096923157,0.3267522040408455,0.32314435042469103,0.615624133860537,0.19397007100470964,0.1850191739875182,0.5376446977956609,0.7757183035809627,0.0850122174861237,0.24229130800256451,0.9388148011158439,0.5415944376465424,0.41613150966136764,0.6262355472729643,0.07144582470048783,0.42432339063388325,0.43185864747295705,0.1713302441529369,0.4498609011885675,0.30284336837263565,0.5322242018820214,0.24831589233713666,1.0254462234531607,0.1670818589942025,0.3406126232184886,0.1865923203431534,0.12663701142849554,0.8810961128038329,0.16554545685844693,0.0634421045641284,0.3554301099913366,0.6820566508036462,0.13223919228365302,0.29604039597706294,0.26653181407869636,0.33373707045530626,0.5564943933448813,0.3938814101359054,0.4552940574148267,0.24116283485220946,0.42864271377302987,0.1580159888746367,0.17096544934705069,0.3117226118036296,0.4071087339931502,0.5563595284064227,0.2551538405465503,0.5167407744117762,0.3710191187965243,0.06453212921825506,0.6754422289393531,0.5210935876695941,0.1339473668071132,0.42070775652215775,0.29139440641192466,0.06023027258838725,0.2479854643175422,0.08397495205862258,0.13637620048141083,0.2925559009913323,0.15320329916658776,0.2114225028171298,0.24462051810631302,0.34623780484866634,0.21409368561525904,0.2598879511413017,0.25609245961920873,0.553493176658941,0.16761863649916245,0.19583777216545092,0.3488557976195974,0.14952762976549702,0.2214617553574025,0.5997745232598184,0.36659424748273617,0.21936602038037964,0.1548993162179746,0.7387817236775664,0.1472329617717466,0.19688526083663205,0.07856205569159322,0.29402500057138775,0.295680110684234,0.21504883476300976,0.22034792126533947,0.17040960039203049,0.5357767630801171,0.7383403146999994,0.3517603776977261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t_length_g,-0.3657372498390243,-0.5789559056559478,-0.9788109476051872,-0.880834534443143,-1.0318369686188995,-4.171122421312966,-1.009972062521133,-2.895288215473198,-1.2642213861879479,-0.47014933762457,-2.4323987837898255,-0.6551085474945001,-0.8792952717545414,-0.9487372945354294,-0.5156140637603921,-1.6446200633283494,-1.5724016139793693,-0.5564612105507405,-0.39747741654559154,-3.648224880175127,-1.3293739086716228,-0.328807197167776,-0.5852302027787023,-0.7518677968160705,-0.5008009025595265,-4.100607799624751,-0.7174719270439331,-0.6825269785072825,-1.7428118390534701,-0.6549632896893917,-0.9581292018208968,-0.6153751151701451,-1.2216366534310417,-0.2896283138920156,-1.8282497688468957,-0.9101728635944399,-1.6012456441750609,-2.3485243944548126,-0.3555827484442065,-1.865107810037539,-4.970598903689252,-0.861349386938818,-0.44938346587345324,-2.1850950303460315,-1.0059181512099975,-1.0551083321695502,-0.9634223500576308,-0.5576135646511929,-0.7525771026867244,-0.6775017671129184,-1.2667471586634214,-0.6929045872520283,-1.977813647650121,-1.8272127684551487,-0.9819282060169189,-0.8032682204951008,-0.5392569967069668,-1.2042919349169101,-0.5692700803202199,-0.7978873611169642,-4.544938186105572,-0.46573030706548796,-0.6130734704943066,-2.2662959921840145,-0.719613298379413,-0.9965946478097952,-4.962854472356758,-1.1384733147798476,-3.5199070593665556,-2.164035065466495,-1.0007824719991298,-1.9664506768209642,-1.4341844913029447,-1.2705642898023173,-0.9018735886271875,-1.3748949886901272,-1.0874311860614658,-1.1837616033333729,-0.5908475126541857,-1.9858723240215677,-1.485403984253696,-0.9361300871652191,-2.072897912898792,-1.3883799160209713,-0.5022131947060942,-0.8371066511431813,-1.3266840302590048,-1.8645934209180801,-0.39986732581895496,-2.026621608738787,-1.6392772740973398,-3.8897092970660028,-1.0018108580438454,-0.9742665052942105,-1.3787579732442903,-1.3976490313355319,-1.7892643410822393,-0.5415410170502145,-0.42441702190903524,-0.8591958292971638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0_length_g,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beta_crosswalk_g,-0.9934890812745818,-1.0158019265793432,-0.9244942349361734,-0.9422263573566675,-1.0957264073896547,-0.9805374318263669,-0.921401991935488,-1.159901142414412,-0.9489236722106009,-1.0943706968761677,-1.055141394604906,-1.0862638543346268,-0.9216910152122608,-0.9818490099723377,-1.0340664286004215,-1.0566894022807203,-0.9867643245225334,-0.898038516949998,-0.995405638714811,-0.8928740954865113,-1.0521829708020292,-0.9902982116900728,-1.0282170433607483,-1.0364302334817788,-1.0249731072400354,-1.0556701414875778,-1.0138515662253786,-0.9849829418956364,-1.0044857528198312,-0.9042807541749788,-1.053868522317576,-0.8453154215222829,-1.0316478789194272,-0.957670707883319,-0.9643262532680272,-1.0352872597775329,-1.0683427092601165,-1.1183478922065864,-0.8654014812987809,-0.8658533439337288,-1.1152894316618422,-0.9583379787772707,-0.9795016105532648,-0.9232232866321196,-1.011532215094486,-0.9486806130650248,-1.101149686037698,-1.029973573974918,-1.0009202249278073,-1.0627557641262788,-1.0088075646914918,-1.034100327835523,-1.0175765191208124,-0.9706615466674049,-0.966559229519028,-0.9605046826774376,-1.073643434905367,-0.9273649627427841,-0.9736091284056753,-0.8982757348201562,-0.9155671057628316,-1.0620153937093018,-1.0337335159320291,-0.9530020580328673,-0.986943591671987,-0.9443438079550844,-1.0478306023478359,-1.015633153126841,-1.0067214876073936,-1.0659385804985813,-0.85335364067604,-0.8963740606373422,-0.977588640640245,-0.9795157662381528,-0.9898252575483965,-0.9586190843222803,-1.1186366864215889,-1.0758885720529552,-0.9501333057080539,-0.9208879088175179,-1.048151719864382,-1.0022058987339688,-0.9621516071082279,-0.9680689755219464,-0.8546447910142547,-1.026844580108879,-1.038866184039356,-1.024166714836919,-1.0435702898278318,-1.0841896547770045,-1.0833414584761036,-0.995170307405772,-0.8567490057294944,-1.1116772005599007,-1.0062267298884022,-1.0736900108749974,-0.9908574978414652,-0.9217808041633415,-1.0116361876937372,-0.9157311276035025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
