,0
L0,-5451.997219473893
LL,-1706.6630330477467
Lv,0.0
b0_crosswalk_g,-2.0
b0_length_g,-2.0
b0_vegetation_l,0.1
beta_crosswalk_g,-1.2709431405556453
beta_length_g,-0.4222742623519394
beta_vegetation_l,5.434900665781668
mu_g,1.6644813749481302
runtime,84.5405580997467
se_crosswalk_g,0.21500040374839252
se_length_g,0.20595719575091084
se_mu_g,0.43254513589861016
se_vegetation_l,1.765421934963913
t_crosswalk_g,-5.911352343519251
t_length_g,-2.050301087137772
t_mu_g,1.536212801393949
t_vegetation_l,3.078527890780264
