,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
L0,-1735.5125508170372,-1815.0988453778332,-1673.7037645089642,-1848.1348530502191,-1605.6778914914805,,-1736.1856341589141,-1644.7763872719108,-1685.9649042069213,-1597.0682936883734,-1717.5227676267489,-1620.178513611041,-1858.2664024302135,-1674.6447675673458,-1655.9417190964177,-1545.8202642338615,-1809.514590720585,-1640.6030433149992,-1834.7311971192046,-1615.3125514920425,-1571.5203581018525,-1768.7713186937924,-1778.9291573090147,-1804.1486801879437,,-1838.3289234282265,-1758.8907147286234,-1861.0472346139147,-1799.9832524531482,-1768.40948476117,-1770.834628939302,-1537.8744381963595,-1636.1540991797365,-1841.4114432447245,-1817.5715934135997,-1536.9711621313006,-1695.7508695840127,-1678.9819054802188,-1749.504230088657,-1819.8939445773233,-1649.4979260366351,-1762.138527678929,-1939.8725939861781,-1831.3787116955416,-1800.464379226555,-1833.1369251194267,-1557.9076710289137,-1657.5157995148406,-1761.443963490494,,-1700.4689429292455,-1578.4160301054308,-1775.0087021961544,-1753.201801956808,-1850.6579610384365,-1587.5729630550416,-1887.035008585844,-1727.645496875389,-1962.2328482013947,-1883.5350341767357,-1885.5675487153044,-1642.132385900443,-1563.2411999560516,-1861.955018489858,-1791.5158906279755,-1864.233457892248,-1751.280382091757,-2034.9591188930285,-1787.5654563342625,-1588.0803390916774,-1933.5524471915815,-1819.9462259001393,-1867.972049310326,,,-1744.7934864690744,-1951.1588697307066,-1533.6622936295994,-1607.0070845094094,-1649.2788855611213,-1829.4466940381994,-1572.3615562196592,-1712.7687579466663,-1700.7146699030704,-1762.1626346555881,-1630.2127168250336,-1875.8198350557766,-1925.1529244254307,-1668.5831251607626,-1622.3806308705844,-1526.6157396723297,-1710.4175772149342,-1783.5960598805643,-1804.0963159794414,-1750.2100007163128,-1638.8992996807783,-1777.6879507262004,-1740.6726204951715,-1608.9094867596202,-1615.2237299386256,-1939.379346732693,-1911.4779924017932,-1712.6755340490818,-1710.9547737177652,-1647.9220218862283,-1767.0662294040048,-1680.3952303198532,-1901.6885907569933,-1610.2500448400451,-1758.2205913146545,-1687.2531004945236,-1758.4477955174339,-1634.2615488826586,-1746.8040152872697,-1688.7536671877422,-1776.9999906621651,-1879.2909355440866,-1805.6325246921624,-1674.938773562768,,-1813.952549418685,-1753.2398914908144,-1692.4335820056212,-1797.596207078726,-1676.8246663778305,-1537.7250027191699,,-1740.496041668455,,-1844.509826920824,-1687.671409549005,-1654.9511572298688,-1821.585707021008,-1740.7799797518448,-1463.8727294758703,-1652.4837763978994,-1691.2786744920115,-1722.9375877162365,-1717.7075414163608,-1679.988983003385,-1548.6073698107461,-1664.9282357382115,,-1770.57124565362,-1928.1408115141198,-1564.2536103181556,-1818.1697944687687,-1652.2398840447893,-1695.664000630428,-1635.3213262830986
LL,-1706.663036050516,-1791.8921875603885,-1644.6529206326622,-1819.332884517968,-1581.6893387227785,,-1701.4248546460128,-1626.7144542034537,-1667.2760349943778,-1577.2870270622202,-1697.3899373415036,-1609.9012644847398,-1811.9194282359788,-1657.0122040846404,-1626.5524341495213,-1529.4907904560796,-1782.330060587887,-1610.2152249774092,-1800.3120500871394,-1602.0930027658587,-1537.7341545146433,-1735.189451077889,-1764.2593152454758,-1780.2116971824394,,-1810.9574488782246,-1715.7648184834354,-1795.3252399010917,-1761.0143636690932,-1727.9216018505642,-1731.4718492354555,-1510.842462884814,-1602.8255636992358,-1808.6420768073808,-1767.4204483809092,-1521.5952848156585,-1665.2511687798556,-1663.1522801356011,-1718.9481729130732,-1787.0658920315661,-1633.818947982163,-1727.3988621806213,-1890.9887232954213,-1805.1180382057005,-1778.2756923988916,-1808.1390631832692,-1535.5419927504543,-1616.638810249877,-1725.0026923174532,,-1667.3310476183328,-1552.4471296689796,-1736.6562948346186,-1720.901359848068,-1795.6403011782402,-1557.4852038010192,-1849.4123564733086,-1691.9997658269433,-1912.847758866712,-1850.4093636521345,-1838.3108431042301,-1595.3553830741878,-1535.230916628653,-1841.0814521766438,-1768.4158233842923,-1801.2328612955941,-1726.9116739148308,-1977.6744090818422,-1759.7898254497468,-1563.600707087488,-1876.4945489100103,-1782.3762057687427,-1830.1151220578106,,,-1707.3330605090216,-1911.0095002615874,-1509.6226166433557,-1594.5901030947914,-1628.7829813669305,-1779.2639127000807,-1549.3280974846057,-1689.3294071554565,-1683.402029945062,-1705.644898284805,-1611.358290048754,-1838.9129614449503,-1882.5019735770006,-1645.079170588528,-1599.4611937392347,-1502.281991979922,-1661.3088075647167,-1750.909147493941,-1774.2998170472752,-1716.1944059236048,-1615.6924638478645,-1747.5145780689038,-1700.6490309195758,-1558.0118437815506,-1586.2913081697384,-1901.1366326530913,-1849.0699729733296,-1671.5538207331567,-1693.185706097711,-1632.2434497053728,-1736.713577207029,-1656.7890985327517,-1849.3545055302366,-1580.213685901682,-1723.0838869781965,-1649.0711423772962,-1720.4695283216854,-1613.86028439865,-1718.6186130299593,-1676.836458505865,-1743.621521836927,-1826.6772901200848,-1774.9535115795063,-1652.4894732357511,,-1790.6991591452072,-1708.2763858203239,-1654.7723746339161,-1771.8286542708606,-1656.7064816642012,-1519.4017646996704,,-1719.1598179186822,,-1807.184184710688,-1668.3456016543346,-1624.4589697706767,-1776.687239400827,-1715.4322503764383,-1441.8950496916098,-1616.0910481270093,-1658.8292961443844,-1675.0786257623154,-1677.7790320756064,-1642.2372668197188,-1523.2416106572728,-1647.5659265214351,,-1739.4265932077112,-1881.036939369826,-1549.8701581336636,-1782.5286057989947,-1629.666256076153,-1663.3901510205044,-1609.0215995010083
Lv,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
runtime,35.92550587654114,27.06665825843811,27.1855731010437,26.30591106414795,27.443974256515503,,25.816598892211914,27.21652102470398,27.477728843688965,23.0611469745636,26.15715217590332,21.41243886947632,27.877909898757935,28.36182999610901,29.47749900817871,29.604485750198364,27.19252300262451,28.78514289855957,28.690269947052002,18.755762815475464,29.1093168258667,25.255096197128296,26.774824142456055,28.02467703819275,,30.8588650226593,26.56722092628479,25.57797074317932,26.85118579864502,24.902513027191162,24.072277069091797,26.22280979156494,27.704505920410156,28.469828128814697,27.930119037628174,30.158945083618164,27.783007860183716,25.29405117034912,28.25373101234436,24.49929404258728,26.92750906944275,27.044638872146606,30.2400381565094,23.14165234565735,27.104957818984985,27.215223789215088,29.49192500114441,31.10873293876648,23.53504991531372,,29.2098548412323,21.822871685028076,27.04297399520874,27.485703945159912,28.3435640335083,30.71382784843445,27.807185888290405,29.25292706489563,26.200674057006836,23.177711963653564,28.245754957199097,28.786412000656128,28.677379846572876,22.87507724761963,27.504289865493774,26.99899911880493,27.48686408996582,25.90793013572693,24.518887042999268,37.650535106658936,24.240418910980225,28.17664623260498,24.240026235580444,,,31.090118169784546,29.997720956802368,89.912593126297,44.235262870788574,39.52723503112793,32.82986092567444,33.58179998397827,26.39203190803528,28.984320163726807,29.778218984603882,27.03456401824951,25.90812921524048,25.566181898117065,26.191447019577026,28.53658103942871,34.43277382850647,29.470335006713867,29.27039408683777,27.839654684066772,33.2551212310791,27.47513699531555,29.70569086074829,33.09128379821777,30.964945316314697,28.872843027114868,27.619070053100586,26.90841794013977,28.965625047683716,29.55356478691101,29.050534963607788,27.4242103099823,24.76132607460022,29.110164880752563,28.27989912033081,30.2628071308136,29.329885005950928,25.244527101516724,30.869441032409668,27.600626230239868,28.83710503578186,32.77722382545471,29.71428871154785,27.712438106536865,22.47349500656128,,29.109236240386963,29.053516149520874,29.38438606262207,24.899314165115356,32.6501669883728,27.40145492553711,,31.242758989334106,,31.662046909332275,30.263990879058838,27.739041805267334,32.54947829246521,22.17177724838257,32.20851492881775,26.22731614112854,29.96620011329651,28.961360931396484,29.742932081222534,28.311924934387207,28.59555196762085,30.151993989944458,,31.082093954086304,27.26669692993164,26.23505997657776,23.630685806274414,23.166314840316772,28.866978645324707,28.22341012954712
beta_length_g,-0.4222392350274231,-0.4006038677152252,-0.4543283190270989,-0.38886866995754954,-0.42770450937518517,,-0.447964056215257,-0.3700034477684645,-0.3977130794400932,-0.3973435912243411,-0.3687997883823327,-0.3529073489874415,-0.3976754232413046,-0.37497879779387355,-0.48261312063103184,-0.39430430392105653,-0.33843411117933003,-0.4391675480964382,-0.41848151929623756,-0.37922632467426753,-0.46574521248397405,-0.41307387328353284,-0.3753175805392985,-0.41028938671761256,,-0.3872486214918192,-0.4692886010776342,-0.5434019749234372,-0.3867497886497466,-0.4331135589073449,-0.42309182701544024,-0.46411780045241935,-0.4397625863998063,-0.4229082350736556,-0.5010325591519231,-0.4175495007097864,-0.4348776544351867,-0.33870346316461014,-0.45087596763090415,-0.4151062013990293,-0.38253602391071523,-0.41843716018239224,-0.5284060515615419,-0.34404753976100527,-0.3860368939283637,-0.33663055526535157,-0.40982106403546426,-0.4967425452171069,-0.41336118029752505,,-0.460839044689373,-0.45179086707064997,-0.5183389858981067,-0.4512913781517075,-0.5356452916007818,-0.4711645931200066,-0.45619208234397973,-0.4176020296451112,-0.470976770777355,-0.41173446245572515,-0.47349155942145227,-0.5376517228434583,-0.4508763832712312,-0.3737564508200638,-0.38537081467665196,-0.5119107978426793,-0.37613899751654983,-0.5085908088384137,-0.4028886150764677,-0.4158840139208174,-0.4713454450698441,-0.4326666375519897,-0.40710273544795145,,,-0.44690364394346377,-0.4044627171861651,-0.41380857295239987,-0.373142524608146,-0.3896865597312234,-0.41756035255314716,-0.43920907553435745,-0.4124660188911638,-0.3835294764148737,-0.5716814055837361,-0.3622448135312481,-0.4210088345135034,-0.38915992994369564,-0.36476938908472206,-0.38811368379838723,-0.416444183927285,-0.46300991503226974,-0.42704769856638214,-0.3945482794662045,-0.40293206671301834,-0.4047354214052078,-0.4179421159367826,-0.4014367632536077,-0.6238615557413806,-0.4235659059748161,-0.4039607640399788,-0.4819148094901613,-0.45200298271755057,-0.3719134730799933,-0.42260810079141814,-0.4092701194685358,-0.402346540285147,-0.4399487021691448,-0.4313100582609535,-0.4307325870161176,-0.49916240657250516,-0.49710503683629836,-0.3750718835576819,-0.38505723495697786,-0.36009835198087475,-0.4132643906397207,-0.4855230885421361,-0.43121009394518,-0.37471186556181185,,-0.3740511910515054,-0.4729290838885378,-0.4311450470569564,-0.3746303760516452,-0.40556425449820005,-0.4069229031432907,,-0.36342242856989876,,-0.3822472810445943,-0.38922771391654976,-0.45529044395909435,-0.49371663550073663,-0.4079470118923516,-0.4187991387140904,-0.4752651328157893,-0.405975350749679,-0.5209133784358688,-0.5023901325619908,-0.4336312191379762,-0.41601513421753744,-0.40112933103927817,,-0.3859289854909538,-0.4624106919772339,-0.3835274308823125,-0.4068599457025711,-0.41214276028094055,-0.41744372186207,-0.40840571921100843
se_length_g,0.09870626555023318,0.31832188086162294,0.08848027835611137,0.7436639988663126,0.28645657256845053,,0.04871304219742318,0.14909174029120428,0.09706286077276939,0.2163999944730935,0.026502971339637655,0.2785069100980721,0.03812965144075473,0.10063519237487166,0.31909455711085394,0.09156692654294409,0.5277999137694804,0.5537299490177836,0.036339152048757636,0.5166794380558204,0.12425256389257729,0.06933294232249035,0.039300573626945765,0.03282330212834208,,0.36812730958259055,0.05644168271693502,0.05261363150350817,0.18656707049514393,0.07777638244131371,0.10433597454442982,0.04532142197762155,0.0948568405184579,0.06756837154611209,0.0498569259701788,0.040428557381564305,0.4530468260247971,0.3036585876054783,0.05067838748689055,0.47064812094073816,0.30499962062994806,0.043005719416941736,0.10588869398580615,0.13760724173614836,0.04793399918049971,1.323049757853471,0.43119947827151484,0.05256349845435198,0.3065105862826954,,0.06211734700149046,0.3329802883318296,0.0647028400111277,0.31433603587846354,0.06973428924278503,0.06858551146052662,0.044695603326708216,0.038203302222701525,0.05242073606423016,0.4697623057896217,0.038730144023631174,0.24793992326625136,0.1717270944968583,0.02422014846697305,0.26511791987091454,0.05304349767936903,0.040507669262472505,0.3771501958994733,0.10694336990758758,0.22837949644339728,0.39641796212740504,0.8826707248478438,0.1326667998151994,,,0.0515598252133129,0.16097184719679164,0.12107712138245286,0.023711136458214148,0.06267339751135055,0.03461919618650109,0.1271302078716459,0.11575336488545414,0.04695738330139403,0.07281414379475258,0.3890244865519571,0.09868432871161066,0.038443978917346536,0.14088010725395883,0.20970361793669237,0.03664426343391893,0.05194578108906477,0.22774863625271347,0.05768012671675757,0.04522967045300496,0.1537169519347629,0.20424321057208544,0.2680688547379393,0.29055364858653004,0.04887734934289691,0.045485067137044276,0.18093582167161665,0.0606519460916158,0.02883810137202892,0.1882608100189367,0.06404833242611806,0.45698200982726334,0.04083668297139256,0.5419799188138871,0.07064003388831752,0.053962690719270394,1.194760038669998,0.3985353972685984,0.1565779464916704,0.11114931324808879,0.22857565584252143,0.052320313703596744,0.5793963518974811,0.6797252725207581,,0.4014652341013994,0.1093303736358461,0.032269564321989165,0.09328187662455427,0.027880438986728515,0.09408073486976462,,0.3134093378819467,,0.2652237871709245,0.027390054029610908,0.18766823538733574,0.3289179526523014,0.8057226521794586,0.12194589851972523,0.04564513009234964,0.6713146522451885,0.36273230014542207,0.06051436475515296,0.10616025612715373,0.039537709583754216,0.11143037192667347,,0.24049830823884485,0.046352077005456356,0.23189584743352804,0.288014260804215,1.215618109334728,0.14195758148282162,0.030433338575532935
t_length_g,-4.277734880087616,-1.2584867450232582,-5.134797578264154,-0.5229090967834465,-1.493086737512307,,-9.195977832789785,-2.4817166064718137,-4.097479471279607,-1.8361534259361803,-13.915412866585202,-1.2671403695627173,-10.429558315244675,-3.7261199481495177,-1.512445480113192,-4.306186947709021,-0.6412166852439901,-0.7931078116244962,-11.515995715440603,-0.7339682920250005,-3.7483750668246545,-5.957829848936602,-9.549926270846296,-12.499942422409054,,-1.051942117336825,-8.314574946873913,-10.328159440718407,-2.07297990810127,-5.56870280298973,-4.055090575065969,-10.240583375375728,-4.636066139207264,-6.258967404372644,-10.049407367225339,-10.328083111374927,-0.9598955989846932,-1.1154088077517608,-8.896809665610148,-0.8819884387710061,-1.2542180318802463,-9.729802590339938,-4.990202746597026,-2.5002139089503066,-8.053509002549687,-0.2544352948686558,-0.9504210572755165,-9.450332641928236,-1.3486032743948397,,-7.418846215024533,-1.3568096458022776,-8.011070082997314,-1.4356972368455936,-7.681232538785811,-6.869739440394469,-10.206643347207677,-10.931045363847101,-8.984550888417054,-0.8764740324655088,-12.225401463329227,-2.168475797526559,-2.6255401606383075,-15.431633349800626,-1.4535826731904367,-9.650773803360712,-9.285624287078301,-1.3485099951372554,-3.767308019418256,-1.821021678379487,-1.1890113216372322,-0.4901789822321041,-3.0686105040223515,,,-8.667671818019894,-2.512630153841128,-3.417727215741117,-15.737015611450367,-6.217734720072399,-12.061526509849024,-3.454797116180246,-3.5633177428520293,-8.16760750813574,-7.851241198347166,-0.9311619860794229,-4.26621774713425,-10.122779714877549,-2.5892185645995225,-1.8507724741094131,-11.36451233842547,-8.913330502017208,-1.8750834498632225,-6.84028107988844,-8.908578432639198,-2.6329914580727345,-2.046296250270089,-1.4975136281536592,-2.147147553563031,-8.665893541061482,-8.881173305139132,-2.6634571586647793,-7.452406919223867,-12.896600517561296,-2.244801245404761,-6.390019910988984,-0.8804428437724097,-10.77337017008319,-0.7958044999247712,-6.097570503676561,-9.250139307717125,-0.4160710274421914,-0.9411256468767242,-2.4592047832065678,-3.2397712721546363,-1.8079982713664033,-9.279819904993401,-0.7442402640834693,-0.5512695800940204,,-0.9317150260563536,-4.325687987345163,-13.360733437704488,-4.016111056164499,-14.546551963950582,-4.325252175236424,,-1.1595775385186218,,-1.441225484040968,-14.210549329174833,-2.4260389245915954,-1.5010328001848037,-0.5063119558434477,-3.434302783429391,-10.41217610409322,-0.6047467449010812,-1.4360821416428335,-8.301997956926598,-4.084685125651856,-10.52198366059311,-3.5998204448535853,,-1.6047056144265186,-9.97605116859814,-1.6538779591223556,-1.4126381956452652,-0.33903966806359453,-2.9406229487826625,-13.41968178080037
b0_length_g,-0.3,-0.3,-0.3,-0.3,-0.3,,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,,,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,,-0.3,,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3
beta_crosswalk_g,-1.2707181880676228,-1.1883884526026696,-1.2533802622444097,-1.2156383070157646,-1.2602751471535518,,-1.2073006916937918,-1.2669032564147196,-1.1110925629156092,-1.2025255131971346,-1.1422290453330428,-1.0691655583652875,-1.225265814150765,-1.2094565266731827,-1.360134338061945,-1.1692318264374497,-1.1955980442192338,-1.2058467503659527,-1.2557793459424338,-0.9978117648024415,-1.3442809847319193,-1.2603400394443554,-1.1614394544403976,-1.2103817701373547,,-1.2296700456517389,-1.403672249979209,-1.519164394355108,-1.3558245192275205,-1.184704886363565,-1.3776531338438789,-1.1150492589200203,-1.4478727813155279,-1.3055787175067473,-1.447700885527682,-1.2724387755931796,-1.3954208565281998,-1.2085988840500823,-1.2166914248300567,-1.0830015589390762,-1.1512480092044675,-1.2118838505862608,-1.4362003419090759,-0.9734868847078942,-1.190183283276311,-1.0899543289640348,-1.3626462019696657,-1.6063657503544353,-1.2021451160281642,,-1.3336778825681632,-1.3458140659569744,-1.526845174868823,-1.3170495752007727,-1.4497623237906536,-1.2904024786986195,-1.3769828600459002,-1.3190733697802552,-1.460155484786998,-1.1598023884804864,-1.250472099003038,-1.628191679234827,-1.3239319805886658,-1.1182011574355062,-1.1639314367996316,-1.4829522804688595,-1.238505458222132,-1.5366634302130056,-1.1824754266409365,-1.3988024957814915,-1.2614847256967179,-1.2186754720881192,-1.1604050915113369,,,-1.3526201763799095,-1.422069357545405,-1.345275935410281,-1.0890005599856465,-1.0067302578136168,-1.3260114447076579,-1.226018662716275,-1.1991049288619404,-1.1444541112153568,-1.6474539682703946,-1.2083142045446482,-1.2213400037970068,-1.2663313354230585,-1.2500221468219266,-1.2460647272854386,-1.3834440725764041,-1.469023318648997,-1.2143214220541987,-1.2998189764743409,-1.2161042046497912,-1.2736613242212447,-1.1854889158475737,-1.1275903923565225,-1.7493448649100043,-1.2053731409994008,-1.128188662899014,-1.2289077863248017,-1.6114908407864672,-1.0755474845603015,-1.1395674159711109,-1.2151728088996872,-1.2800322921821703,-1.2680417801730632,-1.362434949904665,-1.2785952992218856,-1.4052245155305936,-1.335911320216012,-1.2825092228144932,-1.2029606318605617,-1.158893815241633,-1.4497964740471878,-1.5527055508065422,-1.2508545817082188,-1.1718258315550305,,-1.1811934654336347,-1.3836478317028809,-1.2781670264355125,-1.1579985774537827,-1.1144675102820611,-1.174040235150704,,-1.2807547940325845,,-1.2166125499682527,-1.3323876288050494,-1.3299319492003912,-1.390524089806869,-1.276559614019342,-1.2294331565417824,-1.2580948157638807,-1.410506913680604,-1.430719186392875,-1.5170104807575473,-1.4144298229447825,-1.4605129900021054,-1.2232607474954893,,-1.122831835764798,-1.3237704994647608,-1.2590627500337974,-1.0847465683481934,-1.2842772737290293,-1.2212438337614333,-1.4617810789557544
se_crosswalk_g,2.6478735063877905,0.22474064411494082,0.47077456519616057,1.4706843277762929,0.4167439813173564,,0.16921876071338718,0.4776876963191166,1.1471673207314013,1.1516931097534657,0.37644448486032317,0.5106355190186551,0.6441035599708084,0.13699177019785855,0.9804079071202182,0.2935173957459716,1.6068077637878926,1.5788824757350255,0.17410677901835908,3.1982621304062513,0.7280639907274037,0.2581012723076127,0.9607731591281506,0.11174931732451514,,0.5152938601313917,0.27127905770610466,0.17422306038156954,1.6017883096624526,0.18029961551098395,0.5881003218484554,0.2602273983617679,1.1399346329138613,0.7237741763628458,0.17030671577566245,0.53517206274414,1.8719020975065885,0.5571873374374263,0.36432429923811804,1.3343040915752307,0.42174616239594637,0.5032551862346952,0.559793774582599,0.6803080613494366,0.12983421320701613,1.2586481169576937,0.3501721600078416,0.6226241179377456,0.9924413786570903,,0.24521163800163615,0.737922468379275,0.2300147594462074,0.5783425296558793,1.5864297001000016,0.206534800103333,0.23388058976962722,0.3766079100888653,0.1766216062770026,1.3757206208632722,0.12602947874000583,2.0505262982631423,0.2801047336866345,0.22968260685756667,1.2422152959978299,0.35510392741196944,0.9133156837357879,2.371089551045241,0.5585726734841534,0.20829604243141608,0.27933370430184534,2.808480978587625,0.19279658982510536,,,0.19104340804672315,0.5213029390974047,0.8798852760370327,0.12809604289260465,0.12547381765018356,0.1927506249621378,0.2335680895044109,0.5267803145138779,0.6961386270528415,0.25368326217027665,1.2134766343518357,0.5005233084690642,0.14774615323638518,1.5699575517710358,0.32186514042987546,0.1550810713786867,0.19451660518509462,0.5814954451903771,0.39599104054219536,0.5226019735937192,1.324377363437039,0.12344832312803687,0.14964040436789344,0.705868160156658,0.15112987565917102,0.11394314471544649,0.7603171962966866,0.24398472059608717,0.2159514209072116,0.6012241286399964,0.8412641318469033,1.53971655588408,0.30523719501395313,2.488686580165857,0.16939886948260144,0.7716723651106668,0.8141875212992277,1.7569307959396774,0.6891503465601788,0.620934568393937,0.8083662364469071,0.2942881566777171,2.3665892408047986,1.2598754395684078,,2.0356645732521343,0.5458561744377461,0.22431661850170007,0.419170768122978,0.11382526473386019,0.14425572583177648,,0.19699114069252388,,5.055746143410565,0.13358800861188547,0.5149048045483178,1.2218561304294095,2.5542581389051735,0.6251480544278328,0.19731755971959158,1.2079366640870062,0.9297324349390295,0.18095243929550017,0.7423436649443859,0.29542140494357233,0.7713231271679373,,0.2171579001316115,1.484230547765237,2.507010267378389,0.21333104247736048,0.39616411229907866,1.0951847088578037,0.1446572225262895
