,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
L0,-1738.4696630644642,-1831.4705252402002,-1660.4510034069854,-1874.70132932493,-1600.9857260029164,-1626.0932361135608,-1755.7949521937367,-1648.263827168872,-1645.2514044290683,-1606.0503843978413,-1724.5398186504624,-1643.088394726731,-1818.9628364994173,-1673.5548536876252,-1655.9410351289448,-1563.655175404717,-1784.6049262284782,-1658.137101937901,-1816.8690840717243,-1629.5274252252746,-1551.64714762057,-1744.8176060705969,-1802.8028901225737,-1805.2287006134718,-1637.8897680377513,-1872.3683774607312,-1742.8750310476116,-1866.0559597587476,-1719.2868057150174,-1762.4324782794877,-1732.3624147216567,-1558.933384483465,-1666.556345155172,-1860.0425389266497,-1806.2193936630708,-1571.9982212068926,-1728.9005026896398,-1642.1627695213601,-1730.3016372665209,-1806.5088957607747,-1657.7158150417065,-1733.902623042528,-1937.8573617418685,-1815.1579966921997,-1825.5252364977723,-1865.9145695691748,-1516.9349986537288,-1656.2560012558038,-1763.9468480586925,-1617.3600807593803,-1702.2456305232931,-1602.9711839199065,-1798.6388697498178,-1755.5892501015373,-1844.6115950285293,-1577.6749187247983,-1874.8409952920695,-1663.342440295782,-1936.1345953277091,-1877.6185155249705,-1884.349899163781,-1593.3440463305642,-1563.321175296625,-1874.7027483614177,-1783.7654125133342,-1851.9475955214482,-1740.43201615504,-2038.4255823665424,-1810.4228699188916,-1555.8088252054695,-1965.1624937039742,-1840.6666399569742,-1870.756108064553,-1667.2774116160685,-1620.44566981066,-1784.7811811664556,-1932.1939180151894,-1552.1679825328604,-1617.2031430920788,-1622.970415115837,-1790.3164472893118,-1573.9319488396902,-1713.356136168952,-1738.335483771755,-1767.4537296875617,-1586.5975871745386,-1889.7424708405358,-1929.5233719862022,-1640.9456819805694,-1609.57343696742,-1518.5381333619061,-1649.9191743684246,-1803.3740832108617,-1782.047245953046,-1743.3085745880248,-1635.655849218931,-1806.7954461882425,-1730.036073296883,-1596.7471090849544,-1647.1230034800496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL,-1689.546225714822,-1775.0867226489947,-1608.2587771095025,-1814.7361082518646,-1552.9561672025313,-1580.9378096510593,-1687.6118871007259,-1603.3822446958955,-1596.7689804266597,-1559.380739817176,-1682.75950469598,-1596.3740181451744,-1775.9410670378575,-1630.1058137827117,-1596.9579289757633,-1517.1790489740952,-1749.9722517024204,-1604.7000677877136,-1769.0669418814475,-1581.0690518376764,-1505.4707495708503,-1696.5683598766539,-1744.2115114887802,-1753.1284678988236,-1586.7597954096207,-1820.6478781307826,-1693.2764343604929,-1783.0938743129022,-1697.5602589009056,-1708.3982078786328,-1698.4740278675724,-1490.5174006071254,-1607.3540522260787,-1799.759856263834,-1741.402426790731,-1512.8031182347092,-1655.7412217249748,-1625.9221467367367,-1677.3102280307587,-1752.1877013537464,-1609.5479648430248,-1692.005699514967,-1874.0414996133231,-1773.7363218271,-1771.3251003120856,-1800.845945449966,-1485.488814414659,-1602.4150459932935,-1713.1360674876537,-1572.1917659339083,-1650.2999343344795,-1539.6311901030306,-1733.4329593496636,-1700.6427171870996,-1778.5279398918256,-1527.9379074702624,-1831.0018985424003,-1636.11386679164,-1876.7757645731506,-1818.5274733089286,-1824.0249110708169,-1551.1898552510618,-1516.2584917115366,-1810.7941128751095,-1742.230294560352,-1791.931229349418,-1697.7373786331625,-1979.3031997051216,-1750.2862962669121,-1524.1630001132166,-1875.5765960069998,-1771.9802040281484,-1816.5937780766637,-1625.0459266202129,-1563.1476992066134,-1701.0784853898563,-1889.6090135818367,-1500.118570853077,-1558.728221661262,-1568.7246103413543,-1751.8746318757735,-1520.5783706017262,-1662.973724136336,-1673.7088051100934,-1692.6718908317769,-1560.247380047491,-1836.0401011050924,-1875.6180439263435,-1612.9200580004542,-1579.710866450684,-1469.8010557718078,-1609.4019287190372,-1739.3174520102443,-1746.6078290652028,-1698.1100409532498,-1599.2063286269542,-1740.9459383810483,-1678.1157026623332,-1538.1063632251064,-1583.1607339860755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
runtime,45.74133825302124,33.15877914428711,37.97377586364746,36.69913387298584,37.524271965026855,32.69292092323303,37.263327836990356,36.78436303138733,38.618693828582764,38.77922987937927,34.33836603164673,33.910189151763916,30.910856008529663,30.539139986038208,39.421308755874634,34.193923234939575,35.869460344314575,32.18271994590759,40.94782304763794,37.71608114242554,34.976811170578,31.94691777229309,33.00376272201538,31.1387619972229,28.74041175842285,39.01461887359619,32.67408013343811,34.85014605522156,32.98925709724426,40.1275577545166,33.368536949157715,38.53322076797485,31.22469210624695,28.97358012199402,35.68234610557556,26.96621799468994,34.134068965911865,37.083495140075684,35.58962082862854,32.923120975494385,34.427014112472534,31.571948051452637,35.40638208389282,37.47301697731018,37.40946316719055,31.580651998519897,30.569863080978394,32.878206968307495,29.30949306488037,33.18425703048706,30.33216094970703,31.86866593360901,34.150561809539795,34.0946991443634,42.335845947265625,39.14962720870972,37.76578903198242,33.52181887626648,30.83526611328125,37.91442894935608,37.23741912841797,33.59340214729309,37.90625810623169,38.29779410362244,32.062137842178345,39.00273394584656,34.284960985183716,29.535011053085327,35.379302978515625,37.21006417274475,33.41531705856323,33.77198505401611,33.76852512359619,31.537355184555054,38.025349855422974,33.236841917037964,29.79308295249939,28.72394609451294,30.34195590019226,27.806171894073486,33.35611081123352,37.16358804702759,35.54841899871826,29.312384843826294,37.302823066711426,33.82453989982605,34.820611000061035,35.45536422729492,28.999333143234253,36.015949010849,41.730974197387695,40.51435708999634,34.93924880027771,32.19642877578735,35.55507016181946,34.911556005477905,31.565829038619995,35.456769704818726,34.79308485984802,34.67824983596802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gamma,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beta_length_g,-0.29063730812112754,-0.2993721281345965,-0.31978206173496854,-0.28052493948205487,-0.30396890022548373,-0.29380163782943763,-0.29068058919722944,-0.30506418537661995,-0.3267095092608668,-0.3092788527020043,-0.2922236207951033,-0.30924254222655606,-0.2731540639436511,-0.29691211660190325,-0.3038152378826468,-0.3251467037732144,-0.2857243839022328,-0.28767244678493725,-0.2954187112439354,-0.31442976833059066,-0.3099062683527177,-0.2895460697331637,-0.3175055308366498,-0.3100143113657584,-0.3114628384155657,-0.2818752020905582,-0.285203318727283,-0.25966480525043456,-0.29059487704213227,-0.27315213847423725,-0.281648677855194,-0.31373454738577666,-0.2878014448114087,-0.2826841712936718,-0.2786556441170677,-0.3013621653695399,-0.2844471286503046,-0.3115921951508355,-0.30368744709497864,-0.29072388521320075,-0.3163146916604815,-0.29196288703713813,-0.2820496983047508,-0.2828062890842953,-0.2932770839736462,-0.27225779374481585,-0.31046352704202745,-0.28435754008435865,-0.2817511113142343,-0.30568287324809035,-0.28809999984009943,-0.27982646209842194,-0.29340205295439903,-0.2994298252827445,-0.2756335929005414,-0.31180560167589033,-0.28878738502835516,-0.3000038720581437,-0.2660520557227923,-0.2787246285919107,-0.2732744134101245,-0.30186946819007526,-0.31317299841250196,-0.2919920134417452,-0.3008167784310457,-0.25981740015847893,-0.29610455283093823,-0.2572681442510013,-0.279530766395065,-0.29086351501707974,-0.26362258509536024,-0.28197736028489206,-0.2987098632558906,-0.3074357120680291,-0.3069458253319809,-0.2677912895084217,-0.27022011203181867,-0.28741924793287826,-0.3304077411332413,-0.34111198810099763,-0.27853318481068456,-0.3257574322907433,-0.2987438366170614,-0.3008247120039534,-0.2634513901979154,-0.3060436652481485,-0.2807147413966906,-0.2765786317224922,-0.28917344864025346,-0.30149079289018277,-0.3072707048266647,-0.28283302918176123,-0.27518349990990193,-0.28185756933498723,-0.2818893377006622,-0.30982165216421154,-0.2917570865409352,-0.2667177533681606,-0.2931922848965196,-0.2867906847116328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
se_length_g,0.34529620649121323,0.6143524508011136,0.40933348984579154,1.225622539513895,0.955087277145774,0.3931576137499314,0.0993057208079709,0.09057810547284799,0.7078101696630333,0.08195781128588721,0.28580178691180275,0.6047135120431564,0.17508895032031194,0.2423298988914828,0.32656893134154724,0.17267664938209873,0.11428669101571332,0.29108122344218645,0.0694914323528687,0.19376521934411525,0.1937582263034376,0.4900034551493547,0.1270367537704758,0.2619256510394501,0.46005817040545166,0.21767227752341317,0.2919354086892727,0.09799802724536968,0.1956318509130698,0.20694832978362984,0.16626203529395445,0.8762199357389747,0.47043291240317175,0.19972647369116014,0.25664229292097157,0.13809049406344673,0.09933540228005894,0.6017501800400908,0.3008979932631087,0.458899675103702,0.05536625739982945,0.45110881685959214,0.10743978567077576,0.2449819920358185,0.28467857972185046,0.13519160586122184,0.31171657960530585,0.11872488845465254,0.24073753915161702,0.44382347677010203,0.35134368574205144,0.08038141797378945,1.0962839456769022,0.5293527076640071,0.09606806501256267,0.2401669671684884,0.2205589090581663,0.24527951788628857,0.41742850521795105,0.17300186075299528,0.17019328983726797,0.4626358193589152,1.0642673589274885,0.17027631591873152,0.512969684204241,0.19150891953114044,0.42361621503872404,0.14026656165041335,0.08164978840427493,0.17811303887420968,0.341356890743114,0.1890988525212516,0.16934689425676216,0.21075375147386838,0.4636094271020456,0.09415286309105046,0.02410451243233865,0.23837678476860014,0.09742612037428253,0.4506494311082616,0.20176555524451914,0.11815662231389557,0.4873025218751845,0.40481683710558647,0.13344018501762153,0.7240050439462182,0.1260892444183081,0.6814098730127034,0.137113520257384,0.7097775452687888,0.43389106497278995,0.5338780120178955,0.06536206037694152,0.163117486702221,0.31202960336160623,0.11663588906353668,0.3385058552986273,0.10935812368614842,0.16362280451605543,0.5360646618783745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t_length_g,-0.8417043183720102,-0.4872970356742555,-0.7812262364739329,-0.22888363296036993,-0.3182629561707472,-0.7472871630976748,-2.9271283349256714,-3.367968272068431,-0.46157786828126973,-3.7736348476067807,-1.022469537201607,-0.5113868568633645,-1.5600873924021847,-1.225239303775977,-0.930324990300124,-1.8829801535801758,-2.5000669926032635,-0.9882892595512048,-4.251153001766268,-1.6227358521561215,-1.5994483138351243,-0.5909061797225676,-2.4993202471963687,-1.183596605126183,-0.6770075143781751,-1.2949522341458446,-0.9769397964014871,-2.6496942086423836,-1.4854169997668727,-1.3199050157100825,-1.6940047519401151,-0.3580545643727946,-0.6117799950288263,-1.415356542722475,-1.085774448729987,-2.1823527203188715,-2.863502055876869,-0.5178098910250033,-1.0092704301601334,-0.6335238418887593,-5.713131183424651,-0.647211661854997,-2.625188579294327,-1.1543962343278953,-1.0302042544268595,-2.013866112547672,-0.9959801542642839,-2.395096291818966,-1.1703663346695043,-0.6887487689310142,-0.8199948128614325,-3.481233214742081,-0.26763326609990395,-0.5656527697838845,-2.8691490024754556,-1.2982867933588222,-1.309343550263007,-1.2231101668963054,-0.6373595775014912,-1.611107692014145,-1.6056709031914158,-0.6524991268691269,-0.29426158360066673,-1.7148128432676768,-0.5864221370073679,-1.35668563529351,-0.698992489708805,-1.8341373825943723,-3.423533261482765,-1.6330276371428305,-0.7722784928157428,-1.4911637829912396,-1.763893365549353,-1.4587437230323677,-0.6620784811272155,-2.8442182289183737,-11.210353778792513,-1.2057350643934777,-3.391367118632168,-0.7569342476747757,-1.380479361173075,-2.756996822618492,-0.6130562088360796,-0.7431131426124222,-1.9743032442822614,-0.422709299896649,-2.226317896436938,-0.4058917293048027,-2.109007544240923,-0.42476800639841306,-0.7081747692728684,-0.529770889257527,-4.210141147982865,-1.7279420804805072,-0.9034057495307106,-2.6563149186048394,-0.8618967204675065,-2.438938639196347,-1.7918791073389175,-0.5349927072355715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0_length_g,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beta_crosswalk_g,-0.8171457743902579,-0.8163177333048734,-0.796092930428266,-0.814748063987719,-0.8611974239525785,-0.8602396845092245,-0.7262460503422644,-0.9674053646573859,-0.8380367771494954,-0.833889595731788,-0.8379828916134269,-0.880361635073504,-0.7640274193929363,-0.8926007691678783,-0.8083787536561693,-0.9234849087286856,-0.8955176166781045,-0.718907186689692,-0.7975428038993329,-0.7778430201981035,-0.8336044584286054,-0.8280140382792449,-0.9284792806305738,-0.8609907326478154,-0.8709931276347099,-0.8386485938103122,-0.8016013322221697,-0.7286215758553528,-0.8964039497870937,-0.7216373509699898,-0.8279669467618067,-0.7328178940998319,-0.8548734027355367,-0.8134226117565718,-0.7618855549326701,-0.921041424674435,-0.8800389603921568,-1.0196087363596777,-0.7515485783732532,-0.7212076682954276,-0.8944577058844596,-0.7737129938630124,-0.7568505971992161,-0.7568315148625072,-0.8476673009124128,-0.8168884535709797,-0.9644713270347268,-0.8896784468163095,-0.7738517756783314,-0.8604916601802685,-0.8039243531279792,-0.8269505938469336,-0.8313396240835813,-0.8090135010684242,-0.722421832326426,-0.8322107743093158,-0.8493786462662019,-0.8142417587479037,-0.7840445461231729,-0.7547648067817723,-0.6928902743132279,-0.8550039678061776,-0.8606136828815452,-0.8323900477219818,-0.8213665357739196,-0.7124289774873311,-0.8974095394794539,-0.7771847926988975,-0.801504648692304,-0.9177354988785702,-0.659964583070349,-0.7404759887379232,-0.7597415266322574,-0.8211524691119397,-0.8310316621752918,-0.7908190288586071,-0.8802926137130753,-0.88086219194326,-0.865890556916514,-0.7744640405121419,-0.8237925153082599,-0.8653450051739809,-0.8249985018560362,-0.8216958445531681,-0.7192189036923219,-0.926842233319122,-0.7835712452592487,-0.806953809867028,-0.9147000140241925,-0.9227969575159871,-0.9264790637338234,-0.8240891052327468,-0.7423864826256361,-0.8692585102179301,-0.7932418636988228,-0.8793222339673619,-0.7708903100985993,-0.7059204798970452,-0.7858065376654039,-0.7684507245831994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
