,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
L0,-1738.4696630644642,-1831.4705252402002,-1660.4510034069854,-1874.70132932493,-1600.9857260029164,-1626.0932361135608,-1755.7949521937367,-1648.263827168872,-1645.2514044290683,-1606.0503843978413,-1724.5398186504624,-1643.088394726731,-1818.9628364994173,-1673.5548536876252,-1655.9410351289448,-1563.655175404717,-1784.6049262284782,-1658.137101937901,-1816.8690840717243,-1629.5274252252746,-1551.64714762057,-1744.8176060705969,-1802.8028901225737,-1805.2287006134718,-1637.8897680377513,-1872.3683774607312,-1742.8750310476116,-1866.0559597587476,-1719.2868057150174,-1762.4324782794877,-1732.3624147216567,-1558.933384483465,-1666.556345155172,-1860.0425389266497,-1806.2193936630708,-1571.9982212068926,-1728.9005026896398,-1642.1627695213601,-1730.3016372665209,-1806.5088957607747,-1657.7158150417065,-1733.902623042528,-1937.8573617418685,-1815.1579966921997,-1825.5252364977723,-1865.9145695691748,-1516.9349986537288,-1656.2560012558038,-1763.9468480586925,-1617.3600807593803,-1702.2456305232931,-1602.9711839199065,-1798.6388697498178,-1755.5892501015373,-1844.6115950285293,-1577.6749187247983,-1874.8409952920695,-1663.342440295782,-1936.1345953277091,-1877.6185155249705,-1884.349899163781,-1593.3440463305642,-1563.321175296625,-1874.7027483614177,-1783.7654125133342,-1851.9475955214482,-1740.43201615504,-2038.4255823665424,-1810.4228699188916,-1555.8088252054695,-1965.1624937039742,-1840.6666399569742,-1870.756108064553,-1667.2774116160685,-1620.44566981066,-1784.7811811664556,-1932.1939180151894,-1552.1679825328604,-1617.2031430920788,-1622.970415115837,-1790.3164472893118,-1573.9319488396902,-1713.356136168952,-1738.335483771755,-1767.4537296875617,-1586.5975871745386,-1889.7424708405358,-1929.5233719862022,-1640.9456819805694,-1609.57343696742,-1518.5381333619061,-1649.9191743684246,-1803.3740832108617,-1782.047245953046,-1743.3085745880248,-1635.655849218931,-1806.7954461882425,-1730.036073296883,-1596.7471090849544,-1647.1230034800496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL,-1687.0665545354657,-1775.3747158512429,-1598.3479751210893,-1811.6074958519303,-1545.0235722335408,-1580.2038548065013,-1691.4915020713318,-1600.370511862021,-1598.9083251352738,-1561.1132523462034,-1674.913727312728,-1583.174687941201,-1767.0710380018747,-1627.8744967043144,-1600.426823349752,-1513.851052763149,-1726.956902009913,-1606.0672999883627,-1780.712271032692,-1557.7681557364808,-1493.252355124313,-1703.3114095942647,-1739.2870745096877,-1738.3528524503515,-1586.195765349745,-1819.3966333381536,-1698.1744134649284,-1779.7001239742592,-1690.8769013364254,-1703.964287789867,-1693.782295770102,-1487.5836977874906,-1600.6333819329461,-1800.062002945032,-1753.1048168937225,-1500.6474219507245,-1656.1106501843472,-1612.2532916951009,-1657.7211667564907,-1752.5095264120532,-1603.165439859307,-1700.0519716786512,-1873.3517219995254,-1771.8982532867742,-1764.718464543842,-1791.4064433898693,-1485.094502276466,-1600.8983984734891,-1717.07880844183,-1560.897306995407,-1651.9627892294156,-1550.0709318706477,-1728.7869451072484,-1706.12662180645,-1801.2508832431165,-1531.1266950680274,-1828.3774308881275,-1624.01301247366,-1883.1188237795025,-1826.3268722460148,-1833.048186879352,-1556.314414526587,-1500.1312963607968,-1804.3546558966564,-1735.7393421853933,-1804.5744007360702,-1682.8707833320198,-1985.8211652628595,-1749.434497763382,-1520.451015956719,-1882.817604179006,-1777.4456261828786,-1807.9303475517497,-1623.0713997320167,-1559.0772220659396,-1697.2232222424548,-1895.397246969475,-1481.4689859082769,-1554.2410289640757,-1568.3269841730582,-1749.9579691367219,-1516.8653252711947,-1658.2773518000622,-1662.5156385980913,-1714.1956917605655,-1557.1865586960762,-1830.260230002832,-1873.646838547747,-1615.8396534712642,-1569.055752167921,-1456.2370520490917,-1611.814428856219,-1739.460935753261,-1726.552545636116,-1687.472216319773,-1588.9120047147774,-1745.1804620849978,-1688.6382332901585,-1538.9513211160913,-1574.8745667586638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
runtime,26.462214708328247,21.16253399848938,26.064031839370728,25.02996587753296,24.49683403968811,29.738352298736572,30.514373779296875,20.779324054718018,22.932130813598633,30.10304284095764,23.20773720741272,24.253955125808716,28.36504602432251,20.349113941192627,26.30022692680359,24.790295124053955,20.799573183059692,27.044023036956787,29.357044219970703,26.628922700881958,25.29428791999817,20.27299404144287,26.264939069747925,26.648249864578247,28.386336088180542,27.309298992156982,26.382187128067017,23.748381853103638,29.056802988052368,23.605199098587036,26.339931964874268,30.203983068466187,21.958284854888916,28.957111835479736,25.232300996780396,26.561533212661743,27.138593912124634,26.31578016281128,27.541980028152466,26.9721200466156,28.71616816520691,22.785619020462036,27.903661012649536,23.562735080718994,25.322597980499268,25.509891033172607,30.33035397529602,29.83521318435669,24.836867094039917,31.409844875335693,24.992694854736328,28.221039056777954,28.832103967666626,28.313913822174072,27.941213846206665,26.987204790115356,30.24046778678894,28.670420169830322,25.369247674942017,26.002220153808594,27.812119960784912,29.05368709564209,25.2932391166687,27.33558201789856,29.582952976226807,25.017738103866577,30.089126110076904,24.002231121063232,22.035518884658813,27.317419052124023,20.34122109413147,26.791287899017334,24.195079803466797,27.812047004699707,26.07889175415039,28.22774910926819,28.454040050506592,26.16245722770691,27.292091846466064,24.842585802078247,31.492584943771362,28.502405881881714,25.164199113845825,26.28414511680603,23.943784952163696,26.790292978286743,20.31173086166382,26.098431825637817,26.057713985443115,26.601065158843994,27.826573848724365,28.672668933868408,27.629607915878296,25.22975492477417,26.876956939697266,26.80558705329895,19.76219916343689,28.204867124557495,29.892862796783447,26.229687213897705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gamma,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beta_length_g,-0.3247403871725488,-0.32163353808124406,-0.34961191045335255,-0.31157631440508854,-0.34108080201001306,-0.3216562341227892,-0.330507154237833,-0.32526542130006064,-0.3423003915580202,-0.329237282436436,-0.3246933825837286,-0.3296241264239787,-0.31494174166619565,-0.3228664346810015,-0.33639310820633866,-0.33959330475081356,-0.31578396517196916,-0.3228718618484396,-0.3204188009382105,-0.3412392221943826,-0.3427908479270587,-0.3213518039081865,-0.3348230480508803,-0.3411323452525038,-0.3328859365149112,-0.3163436791144468,-0.322979607882856,-0.32951943423191266,-0.3174456910849894,-0.325102091988152,-0.3175053767374546,-0.345975740745523,-0.32391583244975214,-0.3239788802093711,-0.3238331191578809,-0.33750140250769584,-0.3278534753962783,-0.323314026561032,-0.34303642160784786,-0.3249016577981059,-0.335393767993207,-0.3182845466612011,-0.33313191667699266,-0.31188820136454526,-0.3222794890292653,-0.30574463101451016,-0.3340998404064692,-0.33043951449276204,-0.3146572323474929,-0.335624255068224,-0.32336163143840296,-0.32634046888375556,-0.3329963165810618,-0.3248506039424081,-0.3240190057716878,-0.3401790156952874,-0.3269412909703931,-0.3306553912836431,-0.3186520479065721,-0.32392063421374556,-0.3182756316634863,-0.33725380400156024,-0.34384020093103373,-0.32934425162318814,-0.31996510569537673,-0.3156316775396096,-0.32543054771318425,-0.31038782801029813,-0.318434522193297,-0.323130738466438,-0.3115053541483503,-0.3215873256049719,-0.32375969938268023,-0.33539795528879623,-0.33561251460698005,-0.3197546623618015,-0.3100072636819542,-0.3333795237799885,-0.34236573433485595,-0.34679582346589266,-0.3158788432980683,-0.3456818945318329,-0.3368153465188924,-0.3265952987067983,-0.3224005685886462,-0.32504757810359086,-0.3171524752763146,-0.3111475819286947,-0.31123439224467936,-0.32600599787992285,-0.3418238705762022,-0.3260628329842246,-0.314316591985431,-0.32317312659484915,-0.3248704972077092,-0.33121286562280877,-0.3208734511936334,-0.30852203055579525,-0.3400431265385171,-0.3224312978394217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
se_length_g,0.050292379931390345,0.21162035809445934,0.378525178563177,0.35821122487230594,0.1158167166090246,0.31593482528887046,0.3284426139938587,0.23448878063665823,0.3484012579716557,0.1944729103624247,0.07204237457190377,0.14392500887562115,0.13806767599107386,0.4608112403580942,0.14849167475220726,0.21335913869446438,0.09310637940664815,0.4466254979786678,0.3035167014459557,0.22461086186602358,0.23050354339378826,0.0934744605984296,0.22001171510305384,0.7299291897978247,0.11815813213126747,0.34303517088196067,0.07011516340784195,0.1497119241803762,0.01892155320356659,0.12329036965086981,0.2018253009048049,0.04812693462694171,0.06176147070836187,0.15496804011307685,0.09381804729466736,0.09418566555670527,0.08483977425935905,0.04775968737135269,0.08161461700017236,0.16580295631103767,0.25640356682350196,0.1195277827862076,0.11251273396417931,0.1844360006976579,0.19284317252575575,0.3652917596971052,0.1335545536543764,0.24578215599973266,0.38890850484390355,0.04716682526162355,0.2561608582829787,0.11828359045208406,0.4023090479763863,0.1741411261202682,0.2826216770240454,0.17480593856086443,0.3611767069892702,0.038863332732392,0.23372560219677924,0.11496715833405029,0.4712659952196834,0.3651745497091966,0.11935536440042285,0.11260687288759234,0.7518795269584847,0.19830554010776594,0.2573219024025716,0.1291082274262671,0.25295642235260013,0.14796623443668516,0.4056952956186415,0.1489514794863125,0.12983774112770427,0.06382992668604133,0.1831514397134065,0.11769089922577254,0.9080133064224906,0.1796431526049291,0.1471537062613764,0.6448127419608917,0.04862031684278261,0.06220003369666563,0.22460040985987434,0.22987120288488225,0.09974498542729161,0.11184899021663344,0.2144194992894822,0.5697067771995545,0.07286114590446946,0.017809108992735797,0.048962685790128066,0.2581188871767901,0.07323536982499751,0.08675677537705934,0.10567824994174395,0.46447478716846163,0.30790663978870764,0.2584350449586829,0.7248441789542317,0.43810898063622344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t_length_g,-6.4570495095989635,-1.5198610425641517,-0.9236159977004046,-0.8698116998320148,-2.945004935353482,-1.0181094592173796,-1.0062858476823988,-1.3871257312052867,-0.982488965599166,-1.6929724650228197,-4.506977796236574,-2.2902491304262296,-2.2810678850461477,-0.7006479148167123,-2.2654004594378,-1.5916510857175874,-3.39164692241723,-0.7229140819538721,-1.0556875434258908,-1.5192463060754637,-1.487139168795513,-3.4378567348864197,-1.5218419068914064,-0.4673499156089242,-2.817291797953377,-0.9221902182831903,-4.606415961753756,-2.2010233054976998,-16.77693620971628,-2.636881476702251,-1.5731693465291183,-7.1888173104597435,-5.244626281315177,-2.0906173942250974,-3.4517145527530886,-3.5833627178065677,-3.8643841082605346,-6.769600982668133,-4.203124810438348,-1.9595649259028134,-1.3080698219150702,-2.662849918587532,-2.960837453145987,-1.6910375424796653,-1.6711998916436737,-0.8369874843824271,-2.5015982702550192,-1.3444406212024662,-0.809077786750349,-7.115684661975728,-1.2623381792435602,-2.758966545033599,-0.827712720496923,-1.8654444885009787,-1.1464761273216857,-1.946038095135097,-0.9052114509148173,-8.508158411438728,-1.3633596187647907,-2.817505789545193,-0.6753630325377503,-0.923541370202631,-2.880810616751932,-2.924726024067374,-0.42555368808844257,-1.591643266083664,-1.2646826588591706,-2.4040902287777026,-1.2588513042354221,-2.1838140282248366,-0.7678308265155954,-2.1590072600421757,-2.4935715653296873,-5.254556486309467,-1.832431757741807,-2.7169021943523397,-0.34141268799612784,-1.8557875373805988,-2.3265858742744907,-0.5378240858133136,-6.496848721070369,-5.557583718003097,-1.4996203556753422,-1.4207751758725289,-3.232248390307879,-2.9061288570779777,-1.4791214247176994,-0.5461539065028661,-4.271609901012929,-18.305575984340276,-6.98131373024315,-1.263227331213847,-4.291868706835491,-3.725047700197306,-3.0741472099206497,-0.7130911618302336,-1.0421128021591997,-1.193808798667843,-0.46912582926321356,-0.7359613979407266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0_length_g,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beta_crosswalk_g,-0.9161407235583037,-0.8880456681762086,-0.8701734333237172,-0.8994154762654198,-0.9780930323011552,-0.9392038740860674,-0.8512577102851842,-1.034266257577029,-0.9038755824709502,-0.9084240563281449,-0.9237370893257615,-0.9397212824806425,-0.8619080331680878,-0.979970518165674,-0.910448736590238,-0.9731576374531689,-0.9702265221772512,-0.8139337705562875,-0.8835903290873844,-0.8529905458633613,-0.9565287007271838,-0.9120728960258107,-1.003413857792757,-0.9591010153572437,-0.9300955112603313,-0.9367208940746434,-0.9199729965420276,-0.9050911620284335,-0.9827202602684592,-0.8249232788399447,-0.92721466810141,-0.810133079073659,-0.9602853364626237,-0.9130916791775777,-0.8973641453006928,-1.0254844619945627,-1.0021520551522571,-1.059404833132611,-0.8516707769269793,-0.8192501924924651,-0.9649032570530205,-0.8662550816624291,-0.9184303397805249,-0.8229285674691248,-0.9307176727024734,-0.8984129407474707,-1.0674257741549575,-1.0028670558841741,-0.8732013536358884,-0.9545860931685438,-0.9183297175315928,-0.9352831630326438,-0.9553121055950593,-0.9121865168381442,-0.8695205282394877,-0.9265136287335252,-0.9647393695196678,-0.8888960632452368,-0.9162817922604858,-0.8556890997752075,-0.8062907330519606,-0.9761696533636798,-0.9678693080192369,-0.9256042928921426,-0.8990879826798457,-0.8525507289165682,-0.9825228588599938,-0.9350448986671227,-0.9271254667637444,-1.0073269171157442,-0.787198273850051,-0.8619363095794037,-0.849780856671384,-0.9081882274589975,-0.8998405618753084,-0.9213917750270493,-0.9751844434718254,-0.9979787912006736,-0.9086664244550194,-0.8076537585943321,-0.9473318073790095,-0.9244823783983775,-0.9249801730243722,-0.9064881961810838,-0.8254415648315245,-0.9908292119453739,-0.8996404071019106,-0.9165639615551808,-0.982392361158445,-1.0185769670841425,-1.0183199127363571,-0.9405690399478999,-0.8538977257608222,-0.9766966364562909,-0.9175083518021429,-0.9600948466761164,-0.858751946928592,-0.8144228449130784,-0.9338569561292762,-0.8883171545316078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
