,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
L0,-1738.4696630644642,-1831.4705252402002,-1660.4510034069854,-1874.70132932493,-1600.9857260029164,-1626.0932361135608,-1755.7949521937367,-1648.263827168872,-1645.2514044290683,-1606.0503843978413,-1724.5398186504624,-1643.088394726731,-1818.9628364994173,-1673.5548536876252,-1655.9410351289448,-1563.655175404717,-1784.6049262284782,-1658.137101937901,-1816.8690840717243,-1629.5274252252746,-1551.64714762057,-1744.8176060705969,-1802.8028901225737,-1805.2287006134718,-1637.8897680377513,-1872.3683774607312,-1742.8750310476116,-1866.0559597587476,-1719.2868057150174,-1762.4324782794877,-1732.3624147216567,-1558.933384483465,-1666.556345155172,-1860.0425389266497,-1806.2193936630708,-1571.9982212068926,-1728.9005026896398,-1642.1627695213601,-1730.3016372665209,-1806.5088957607747,-1657.7158150417065,-1733.902623042528,-1937.8573617418685,-1815.1579966921997,-1825.5252364977723,-1865.9145695691748,-1516.9349986537288,-1656.2560012558038,-1763.9468480586925,-1617.3600807593803,-1702.2456305232931,-1602.9711839199065,-1798.6388697498178,-1755.5892501015373,-1844.6115950285293,-1577.6749187247983,-1874.8409952920695,-1663.342440295782,-1936.1345953277091,-1877.6185155249705,-1884.349899163781,-1593.3440463305642,-1563.321175296625,-1874.7027483614177,-1783.7654125133342,-1851.9475955214482,-1740.43201615504,-2038.4255823665424,-1810.4228699188916,-1555.8088252054695,-1965.1624937039742,-1840.6666399569742,-1870.756108064553,-1667.2774116160685,-1620.44566981066,-1784.7811811664556,-1932.1939180151894,-1552.1679825328604,-1617.2031430920788,-1622.970415115837,-1790.3164472893118,-1573.9319488396902,-1713.356136168952,-1738.335483771755,-1767.4537296875617,-1586.5975871745386,-1889.7424708405358,-1929.5233719862022,-1640.9456819805694,-1609.57343696742,-1518.5381333619061,-1649.9191743684246,-1803.3740832108617,-1782.047245953046,-1743.3085745880248,-1635.655849218931,-1806.7954461882425,-1730.036073296883,-1596.7471090849544,-1647.1230034800496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL,-1682.0746493263396,-1772.4898304713154,-1595.0834242040453,-1807.9896894243634,-1542.0830307772685,-1577.63696820689,-1680.8491336790405,-1598.5334246709806,-1596.3123483815725,-1557.336313187584,-1672.5993277979471,-1583.074699432898,-1762.5697605023845,-1624.7718266061743,-1595.586727939805,-1513.387802883593,-1725.8293951756614,-1600.7955291921637,-1771.0617070195144,-1557.5069800419324,-1489.702890153384,-1694.9733643056677,-1738.008386927989,-1737.2718165041617,-1583.8333415568184,-1813.4839625720356,-1687.6372549201192,-1761.236618944521,-1687.8768279326628,-1695.363321223113,-1689.509954421189,-1483.7769194226662,-1594.8353856856818,-1794.4648651644738,-1737.4892001152386,-1498.1989940247122,-1650.3783797332296,-1612.2532919620983,-1654.5549571492013,-1746.3897324154577,-1602.0458910696407,-1692.729596606224,-1860.6718347557664,-1769.119441781081,-1762.7968499419865,-1788.5813470912785,-1481.7660629256377,-1592.309813877046,-1709.7578347590932,-1559.2496766998127,-1645.690909958568,-1542.580261417503,-1722.7423793356618,-1699.437720097019,-1777.41391208741,-1524.5018331193332,-1823.4534751467309,-1622.0829887379673,-1870.4286795920516,-1817.0977583649285,-1821.4761443895268,-1548.0471403543702,-1497.8312976348482,-1801.235575448429,-1733.7280383340772,-1787.1300496435795,-1682.1225111224574,-1971.626363396559,-1741.939207596926,-1519.473240974549,-1868.0408437201752,-1766.5373627916642,-1805.1814812363596,-1620.7806353797828,-1557.5679032820437,-1688.6568559236805,-1888.3832335544605,-1477.4006109926668,-1553.4574598986724,-1568.0243016626766,-1743.6657190653684,-1515.9429097270956,-1653.8743222295313,-1661.5044260535608,-1691.7718147775668,-1555.4426860632327,-1824.8840797528464,-1867.0588889095275,-1612.0185898367374,-1568.3745663329416,-1453.1196187218457,-1601.2919186833215,-1733.7910476056663,-1724.953518646031,-1682.0893351102955,-1587.2439116324945,-1738.6745754214705,-1676.1804558794122,-1527.2607900503615,-1570.8374826450429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
runtime,79.76018619537354,61.135831117630005,56.97303795814514,45.05932331085205,55.57302403450012,62.216755867004395,62.4880907535553,59.313854932785034,49.10168409347534,61.70567011833191,45.66916108131409,43.9514741897583,39.08890509605408,36.619998931884766,40.00998306274414,39.09720826148987,27.740194082260132,36.43693733215332,36.44773030281067,37.35706186294556,35.46709394454956,34.50312662124634,40.05007266998291,33.053385972976685,38.267577171325684,32.33437395095825,35.84850788116455,34.091355085372925,35.13427495956421,31.311907052993774,34.869789838790894,26.285387992858887,29.48272395133972,38.49124598503113,41.57826805114746,37.68549299240112,33.56662178039551,28.73114323616028,35.01310181617737,46.93424892425537,41.111780881881714,34.46815204620361,44.10793209075928,42.39403700828552,41.87579393386841,34.8909478187561,37.75298595428467,40.93596911430359,33.90571308135986,40.17950391769409,32.742106914520264,34.59086227416992,39.71284508705139,32.69523882865906,39.44147300720215,32.82875990867615,38.30724883079529,43.81761312484741,30.59080696105957,35.951688051223755,37.807531118392944,34.314743757247925,36.683035135269165,31.422497987747192,35.71572804450989,38.71143817901611,31.632609844207764,35.778377056121826,26.395964860916138,28.55146813392639,36.92241907119751,41.60311794281006,29.18734097480774,31.86180090904236,41.31131911277771,37.4871301651001,27.520723819732666,35.10974192619324,31.62474489212036,30.06281876564026,36.16945719718933,34.548987865448,29.809796810150146,28.95114779472351,44.19133019447327,32.8190279006958,34.829028844833374,36.27377414703369,35.28798699378967,35.69146490097046,39.350736141204834,42.01599597930908,32.58612108230591,39.65094709396362,41.03068804740906,36.832879304885864,29.057634830474854,41.62945580482483,42.3141930103302,33.36800289154053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gamma,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beta_length_g,-0.3012721430366043,-0.3032905455855652,-0.33013721301365473,-0.29095603035260953,-0.32287806915346173,-0.3046633005051631,-0.29914584796763505,-0.30991788221141586,-0.32561132676639376,-0.309254313189267,-0.3076623109030169,-0.32607281430760315,-0.2918700939000721,-0.3059597080733157,-0.31149759227701607,-0.33232785300650003,-0.30383768416813184,-0.2966568914808409,-0.2910586748354944,-0.33557895957069644,-0.3223224219067452,-0.2911036975531216,-0.32339197030219363,-0.33013400070557375,-0.31660348931367516,-0.2909025497763815,-0.28988830161748963,-0.287126711660932,-0.2989262599283416,-0.29286450713669965,-0.29456470547340996,-0.3248573317164168,-0.29840999854319994,-0.2996596234443025,-0.2852618319709485,-0.32104616192306046,-0.30210702223240354,-0.32331797042196053,-0.3236395507766402,-0.2983209539968404,-0.32388555873460945,-0.2904194735682964,-0.29754387090060735,-0.29225312684204374,-0.3069623800787921,-0.28826231835563887,-0.3145536826812138,-0.2980409081754206,-0.2856393549718613,-0.32120025060081653,-0.29595237531495977,-0.29776320621125113,-0.3060342882077117,-0.29990549170168757,-0.27788676640232185,-0.31395326716347105,-0.3037951114383174,-0.3141207905550734,-0.2810452701188156,-0.2932312829802951,-0.2832970296298923,-0.30751165054158675,-0.3278429112376991,-0.311383325320348,-0.3052974730077129,-0.27393399416980807,-0.31566488799068637,-0.2720525052184503,-0.29176676733066614,-0.3106953530005583,-0.27273756740068783,-0.29036729296815383,-0.30663920081952717,-0.31957572374429727,-0.3221205657051439,-0.28876393538731304,-0.28300816411010943,-0.31114800920010677,-0.3336026130260078,-0.34075041294566444,-0.28938951673814556,-0.33461792282421743,-0.31496388400715764,-0.31556881892558025,-0.27306314587517994,-0.31067752783897146,-0.2925507377514761,-0.28520031837638077,-0.2906986981324376,-0.316868653323725,-0.32120000683525873,-0.29065086080776725,-0.28817238456522926,-0.30890812690618025,-0.3001153123772909,-0.31711888074106603,-0.29482944823031715,-0.2710973292522021,-0.30527818462288064,-0.3009558921562021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
se_length_g,0.10406222448329777,0.312937698272801,0.3437298811850221,0.12571037006287564,0.7534601399370571,0.19496510563833142,0.33280165886215035,1.0377785956695151,0.30270891539352174,0.1049619004526672,0.4364647109754584,0.1364656428113728,0.0922055755491053,0.21798748242947097,0.43853765183449894,0.13714528270375542,0.13986397252269928,0.733564407369654,0.6241429132797798,0.05901042622251102,0.6628742189661245,0.27230907576158514,0.322318114184215,0.35017285702014284,0.45851654317552587,0.5877983749797009,0.6466436566940964,0.24331366386845252,0.224764139833779,0.7952471852335051,0.5346061195713854,0.3627292239001402,0.7958566666281487,0.3084633734793601,0.049679772664856466,0.16981818047979474,0.2549914084795248,0.1793546957852567,0.900547072072411,0.22458069741337736,0.12160012310615834,0.10213978137793236,0.1989689805829863,0.2518120258572511,0.4276524198750851,0.49853796978931303,0.1638441995452718,0.08386546368180482,0.5087799616825708,0.8047133545696021,0.10412918111510759,0.37199251206046097,0.2449545048969709,0.12111029738455903,0.4503583926401648,0.04409689043417238,0.3153880030984264,0.6115038788295797,0.0696403297626768,0.25512986382771563,0.12561528336087802,0.5932932605765295,0.5493195906638523,0.8667272645044171,0.45166987970992956,0.4060505814063287,0.5450543375516437,0.20271437457049674,0.07708257762751489,0.10428742327267167,0.5169575897009944,0.20931909784752584,0.11621840309073762,0.36552956747727167,0.05935480321253698,0.2654287265974748,0.04906293091053611,0.7917735657592225,0.5278940627082898,0.3890102150368982,0.5733368117290287,0.27215371559951596,0.25413773632880227,0.5264424547137072,0.15502597731105186,0.372428035034801,0.08472584243205568,0.39564597121285316,0.12960729111505853,0.23182945659394183,0.23261300340288632,0.47941427250420554,0.9995821540245311,0.06276117007466032,0.4635365439203208,0.11973864787658878,0.41334722455056877,0.3028026775342704,0.14728023929980022,0.3704330236448239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t_length_g,-2.8951153459626378,-0.9691722897545377,-0.9604553781460426,-2.3144950588172177,-0.4285270740140739,-1.5626555301148428,-0.8988712646157336,-0.2986358395756608,-1.0756581990427962,-2.9463482640420167,-0.7048961878622901,-2.389413244169534,-3.1654278188918505,-1.4035654922172323,-0.7103098011629184,-2.423181070867412,-2.1723799109082247,-0.4044046964390832,-0.46633338077336106,-5.68677403388558,-0.4862497479679733,-1.0690194468875938,-1.0033316654284123,-0.942774387240938,-0.6904952373604444,-0.49490192923113746,-0.4482968302813264,-1.1800681765910483,-1.329955304032966,-0.3682685240196192,-0.5509938900616663,-0.8955918363110728,-0.37495444978489734,-0.9714593342614577,-5.742011621014182,-1.8905288056673006,-1.1847733381835177,-1.802673573760637,-0.3593810482686429,-1.3283463691794137,-2.6635298588625074,-2.843353193538776,-1.4954284332602654,-1.1606003559485207,-0.7177847378215564,-0.5782153733996657,-1.9198341079770693,-3.5537978935670345,-0.5614202140100646,-0.39914865184834575,-2.842165588412771,-0.8004548386255013,-1.2493515411624345,-2.476300514310553,-0.6170347237746553,-7.11962372113605,-0.963242445666232,-0.5136856877446168,-4.0356682841188904,-1.1493412749920513,-2.255275170745052,-0.5183130687221424,-0.5968163466398517,-0.3592633323914101,-0.6759305561924572,-0.6746302227201749,-0.5791438875775891,-1.3420484156333978,-3.7851194953620624,-2.97922168609161,-0.5275820934526522,-1.3871992376905133,-2.6384737069577384,-0.8742814594996292,-5.427034515668401,-1.087915159330988,-5.768268606418177,-0.39297600053337284,-0.6319499244119252,-0.875942069833163,-0.5047460948223873,-1.2295181129057955,-1.2393432339369654,-0.5994364932007519,-1.761402512091844,-0.8341947936597756,-3.452910344161898,-0.7208472703566243,-2.2429193267712892,-1.366817909937703,-1.3808342703822944,-0.6062624278780052,-0.2882928465709254,-4.9219625213918885,-0.6474469301580653,-2.648425436271098,-0.7132730806427559,-0.8952936990509933,-2.0727708352066396,-0.8124434727632778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0_length_g,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beta_crosswalk_g,-0.8543549095824948,-0.8365904818136558,-0.8260030712283564,-0.8507218229137,-0.9257876992107942,-0.8919970754959611,-0.7630913414982015,-0.9976133517250708,-0.8549367140970431,-0.8501499710536736,-0.8876892310740895,-0.9306646362140093,-0.8126995267729834,-0.9226671783266067,-0.8333310535798581,-0.9494020691063553,-0.9485113502865917,-0.746512265978953,-0.8084361067374503,-0.8376098339180114,-0.9036241103371714,-0.8423604120139422,-0.9712257360546166,-0.9240874261341072,-0.8858014051324369,-0.8731341061023353,-0.8298389078294252,-0.7987068853566932,-0.9379257789652152,-0.7635243572677114,-0.8645388848964236,-0.7643694285628863,-0.8976757781900369,-0.8497114913261387,-0.7876766280208967,-0.9757754627306006,-0.9280867805768729,-1.0593950246829398,-0.8072871049234402,-0.7542134687706764,-0.9356944888982303,-0.7868882649853968,-0.8121294420304234,-0.7838512250531832,-0.8945604933981208,-0.857556231989499,-0.9986982301257241,-0.9350591349703752,-0.7981902513796415,-0.9203545954799986,-0.8409591744792597,-0.8570115438176309,-0.8830132546407546,-0.8297430380074688,-0.7361598332902485,-0.8490405905723806,-0.8947504630761727,-0.857869795102286,-0.8205733922234385,-0.7854440712268952,-0.7195009020969796,-0.8889442847805067,-0.9218091582158251,-0.8745850103582709,-0.8570034329578576,-0.7484327045904922,-0.9570497098721296,-0.8222289376694625,-0.8422210166822356,-0.9726403217685747,-0.6943932485322204,-0.7718207282266737,-0.8091115916200409,-0.8585078655701682,-0.8668425176170932,-0.8387324720438192,-0.8998228994706808,-0.9367116814109452,-0.8827276951005196,-0.7914939495747783,-0.8718485257162216,-0.8973982866195338,-0.8711071168384552,-0.8785273508051076,-0.7393799861987278,-0.9535909640847635,-0.8390698998128917,-0.8517596575868228,-0.9231916235538341,-0.9888073296549453,-0.9755922288996035,-0.8577097752806778,-0.7832421695616222,-0.9377187498464986,-0.8508196376161762,-0.930714086889643,-0.7920636452544251,-0.718648473721063,-0.8348815560537719,-0.8247111547531252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
